[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
9598  0x000bc689 0x100bd289 6   7    .text   ascii   HLr \rH
9599  0x000bc69e 0x100bd29e 6   7    .text   ascii   *Dt\aHH
9600  0x000bc6d9 0x100bd2d9 4   6    .text   utf8    ]ȍ8C blocks=Basic Latin,Latin Extended-B
9601  0x000bc738 0x100bd338 4   6    .text   utf8    I;ύE blocks=Basic Latin,Greek and Coptic
9602  0x000bc7f8 0x100bd3f8 4   5    .text   ascii   HtcL
9603  0x000bc80d 0x100bd40d 4   6    .text   utf8    \tHɍV blocks=Basic Latin,Latin Extended-B
9604  0x000bc870 0x100bd470 4   5    .text   ascii   HHH+
9605  0x000bc897 0x100bd497 4   5    .text   ascii   (\b8f
9606  0x000bc920 0x100bd520 4   5    .text   ascii   yH)a
9607  0x000bc989 0x100bd589 4   5    .text   ascii   Ht$L
9608  0x000bc9bc 0x100bd5bc 5   6    .text   ascii   HL$Fx
9609  0x000bc9fe 0x100bd5fe 4   5    .text   ascii   DLHu
9610  0x000bca45 0x100bd645 4   6    .text   utf8    #LHύ blocks=Basic Latin,Greek and Coptic
9611  0x000bca6b 0x100bd66b 5   7    .text   utf8    D\a4Hɋ blocks=Basic Latin,Latin Extended-B
9612  0x000bcb11 0x100bd711 4   6    .text   utf8    LHD\v
9613  0x000bcbde 0x100bd7de 4   5    .text   ascii   AyLH
9614  0x000bcc3a 0x100bd83a 6   7    .text   ascii   M_$HDH
9615  0x000bccc4 0x100bd8c4 4   5    .text   ascii   $GH`
9616  0x000bcda2 0x100bd9a2 4   5    .text   ascii    ILA
9617  0x000bcdb2 0x100bd9b2 4   6    .text   utf8     ?ȉv blocks=Basic Latin,Latin Extended-B
9618  0x000bcdf9 0x100bd9f9 4   5    .text   ascii   A~H^
9619  0x000bce0c 0x100bda0c 7   9    .text   utf8    <HϋHLpA blocks=Basic Latin,Greek and Coptic
9620  0x000bce40 0x100bda40 8   11   .text   utf8    Ʉ#2_NОH$ blocks=Latin Extended-B,Basic Latin,Cyrillic
9621  0x000bce6a 0x100bda6a 5   6    .text   ascii   HMMA$
9622  0x000bce79 0x100bda79 5   6    .text   ascii   pfH_t
9623  0x000bcea7 0x100bdaa7 5   8    .text   utf8    ߋ ЉDu blocks=NKo,Basic Latin,Cyrillic
9624  0x000bcecf 0x100bdacf 4   5    .text   ascii   WHHt
9625  0x000bcf24 0x100bdb24 5   6    .text   ascii   gs\bH\b
9626  0x000bcf54 0x100bdb54 4   5    .text   ascii   \v\bLI
9627  0x000bcfaf 0x100bdbaf 4   5    .text   ascii   e\bD\b
9628  0x000bcfb8 0x100bdbb8 4   6    .text   utf8    H$t̴ blocks=Basic Latin,Combining Diacritical Marks
9629  0x000bcfcf 0x100bdbcf 4   5    .text   ascii   HH$+
9630  0x000bcfd4 0x100bdbd4 7   8    .text   ascii   H3DIWHL
9631  0x000bcff5 0x100bdbf5 5   7    .text   utf8    m\r(Iu
9632  0x000bcfff 0x100bdbff 4   5    .text   ascii   k<X=
9633  0x000bd005 0x100bdc05 5   6    .text   ascii   H@@$H
9634  0x000bd045 0x100bdc45 5   6    .text   ascii   \r0B(\f
9635  0x000bd065 0x100bdc65 5   7    .text   utf8    oE$Vy
9636  0x000bd104 0x100bdd04 5   6    .text   ascii    $H}$
9637  0x000bd153 0x100bdd53 4   5    .text   ascii   $HHD
9638  0x000bd1c2 0x100bddc2 4   5    .text   ascii   dD]H
9639  0x000bd1cc 0x100bddcc 4   5    .text   ascii   d$AD
9640  0x000bd20b 0x100bde0b 6   7    .text   ascii   uHGH0H
9641  0x000bd258 0x100bde58 5   6    .text   ascii   8D${H
9642  0x000bd29f 0x100bde9f 4   6    .text   utf8    HI̓H blocks=Basic Latin,Combining Diacritical Marks
9643  0x000bd2af 0x100bdeaf 4   5    .text   ascii   HGH(
9644  0x000bd325 0x100bdf25 4   5    .text   ascii   BH`H
9645  0x000bd352 0x100bdf52 5   6    .text   ascii   (\f\nHH
9646  0x000bd57a 0x100be17a 4   5    .text   ascii   $DDP
9647  0x000bd59a 0x100be19a 4   5    .text   ascii   D$H\
9648  0x000bd5b7 0x100be1b7 6   7    .text   ascii   \rHtH-H
9649  0x000bd615 0x100be215 4   6    .text   utf8    ·$H$ blocks=Greek and Coptic,Basic Latin
9650  0x000bd625 0x100be225 4   6    .text   utf8    \b(ΉD blocks=Basic Latin,Greek and Coptic
9651  0x000bd691 0x100be291 4   6    .text   utf8    W  Z
9652  0x000bd6f9 0x100be2f9 4   5    .text   ascii   MHH0
9653  0x000bd71c 0x100be31c 4   7    .text   utf8    3;@ blocks=Basic Latin,Private Use Area
9654  0x000bd792 0x100be392 4   5    .text   ascii   <@Us
9655  0x000bd7f9 0x100be3f9 4   5    .text   ascii   43H@
9656  0x000bd841 0x100be441 6   7    .text   ascii   (u@$% 
9657  0x000bd89a 0x100be49a 4   6    .text   utf8    ̃RA$ blocks=Combining Diacritical Marks,Basic Latin
9658  0x000bd94c 0x100be54c 4   6    .text   utf8    ID̘H blocks=Basic Latin,Combining Diacritical Marks
9659  0x000bd96c 0x100be56c 4   5    .text   ascii   0tH\b
9660  0x000bd9c7 0x100be5c7 4   5    .text   ascii   3K&W
9661  0x000bd9ce 0x100be5ce 4   5    .text   ascii   IHXH
9662  0x000bd9f8 0x100be5f8 4   5    .text   ascii   VD3H
9663  0x000bda1b 0x100be61b 6   7    .text   ascii   8HTDH4
9664  0x000bda31 0x100be631 9   10   .text   ascii   uEH\bxL(H3
9665  0x000bda73 0x100be673 4   5    .text   ascii   MfU|
9666  0x000bdae8 0x100be6e8 4   5    .text   ascii   $pXM
9667  0x000bdafd 0x100be6fd 5   6    .text   ascii   |$$xH
9668  0x000bdcf2 0x100be8f2 4   5    .text   ascii   GHMD
9669  0x000bdd0f 0x100be90f 4   5    .text   ascii   tHEE
9670  0x000bdd37 0x100be937 6   7    .text   ascii   DiH$HH
9671  0x000bdddb 0x100be9db 4   6    .text   utf8    TȋHH blocks=Basic Latin,Latin Extended-B
9672  0x000bde8b 0x100bea8b 4   5    .text   ascii   :^\b\r
9673  0x000bdec2 0x100beac2 4   5    .text   ascii   ]H'u
9674  0x000bdecd 0x100beacd 5   6    .text   ascii   H@|8D
9675  0x000bdf95 0x100beb95 4   5    .text   ascii   [Qu|
9676  0x000bdfe0 0x100bebe0 4   5    .text   ascii   D\aMy
9677  0x000be053 0x100bec53 4   6    .text   utf8    u\bȸH blocks=Basic Latin,Latin Extended-B
9678  0x000be08e 0x100bec8e 4   5    .text   ascii   1$\n(
9679  0x000be0c6 0x100becc6 4   5    .text   ascii   $BH^
9680  0x000be137 0x100bed37 4   5    .text   ascii   HA[w
9681  0x000be257 0x100bee57 4   5    .text   ascii   I\e(H
9682  0x000be279 0x100bee79 4   6    .text   utf8    у\nA$ blocks=Cyrillic,Basic Latin
9683  0x000be2ae 0x100beeae 4   6    .text   utf8    HҖ\W blocks=Basic Latin,Cyrillic
9684  0x000be332 0x100bef32 6   8    .text   utf8    FHDf3ދ blocks=Basic Latin,Thaana
9685  0x000be3a6 0x100befa6 4   5    .text   ascii   \btYI
9686  0x000be3d8 0x100befd8 4   6    .text   utf8    HۋHS blocks=Basic Latin,Arabic
9687  0x000be418 0x100bf018 4   6    .text   utf8     ̋tC blocks=Basic Latin,Combining Diacritical Marks
9688  0x000be49d 0x100bf09d 4   5    .text   ascii   D$A(
9689  0x000be4a4 0x100bf0a4 4   5    .text   ascii   \bAD8
9690  0x000be521 0x100bf121 5   7    .text   utf8    KL̖H+ blocks=Basic Latin,Combining Diacritical Marks
9691  0x000be553 0x100bf153 4   5    .text   ascii   EIHA
9692  0x000be563 0x100bf163 4   5    .text   ascii   4H}A
9693  0x000be5c0 0x100bf1c0 4   5    .text   ascii   b\a=X
9694  0x000be644 0x100bf244 4   5    .text   ascii    (F2
9695  0x000be65d 0x100bf25d 5   7    .text   utf8    $HPȹ' blocks=Basic Latin,Latin Extended-B
9696  0x000be669 0x100bf269 4   5    .text   ascii   HHED
9697  0x000be694 0x100bf294 4   5    .text   ascii    IL_
9698  0x000be6c3 0x100bf2c3 4   5    .text   ascii   +H H
9699  0x000be6de 0x100bf2de 4   5    .text   ascii   HH@G
9700  0x000be72e 0x100bf32e 5   7    .text   utf8    H͋!HJ blocks=Basic Latin,Combining Diacritical Marks
9701  0x000be756 0x100bf356 4   5    .text   ascii   U LH
9702  0x000be89a 0x100bf49a 4   6    .text   utf8    H̠H; blocks=Basic Latin,Combining Diacritical Marks
9703  0x000be8b2 0x100bf4b2 4   5    .text   ascii   $;IH
9704  0x000be902 0x100bf502 4   5    .text   ascii   9H H
9705  0x000be96f 0x100bf56f 4   5    .text   ascii   \=YQ
9706  0x000be9d1 0x100bf5d1 4   5    .text   ascii   L$a^
9707  0x000bea67 0x100bf667 4   6    .text   utf8    PUHΌ blocks=Basic Latin,Greek and Coptic
9708  0x000bea9c 0x100bf69c 5   6    .text   ascii    HW=H
9709  0x000beaf0 0x100bf6f0 6   7    .text   ascii   $u$AHL
9710  0x000beb53 0x100bf753 4   5    .text   ascii    $\t\
9711  0x000bebb5 0x100bf7b5 6   8    .text   utf8    nEAH$ĕ blocks=Basic Latin,Latin Extended-A
9712  0x000bebc7 0x100bf7c7 4   5    .text   ascii   HT3H
9713  0x000bebec 0x100bf7ec 4   5    .text   ascii    \bA}
9714  0x000bec72 0x100bf872 4   5    .text   ascii   _MRu
9715  0x000becc3 0x100bf8c3 4   5    .text   ascii   CHH\b
9716  0x000bed22 0x100bf922 4   5    .text   ascii   l}PH
9717  0x000bed8a 0x100bf98a 5   6    .text   ascii   @-u0o
9718  0x000bed95 0x100bf995 4   5    .text   ascii   `$HL
9719  0x000bee17 0x100bfa17 4   5    .text   ascii    +@L
9720  0x000bee44 0x100bfa44 4   6    .text   utf8    HHä} blocks=Basic Latin,Latin-1 Supplement
9721  0x000beeb3 0x100bfab3 6   7    .text   ascii   @HDI3A
9722  0x000beebd 0x100bfabd 5   6    .text   ascii   \bE\v$$
9723  0x000beee0 0x100bfae0 7   9    .text   utf8    3@ËH$fH blocks=Basic Latin,Latin-1 Supplement
9724  0x000bef48 0x100bfb48 4   7    .text   utf8    D\b苋I blocks=Basic Latin,CJK Unified Ideographs
9725  0x000bef8c 0x100bfb8c 5   6    .text   ascii   \vHE$H
9726  0x000bf03c 0x100bfc3c 4   5    .text   ascii   ]kuS
9727  0x000bf05b 0x100bfc5b 4   5    .text   ascii   HHKI
9728  0x000bf0ab 0x100bfcab 7   8    .text   ascii   QEh3#LH
9729  0x000bf10f 0x100bfd0f 4   5    .text   ascii   C;I 
9730  0x000bf133 0x100bfd33 4   5    .text   ascii   |XEH
9731  0x000bf2fd 0x100bfefd 6   9    .text   utf8    \tuH씋HK blocks=Basic Latin,Hangul Syllables
9732  0x000bf388 0x100bff88 4   7    .text   utf8    (U캋s blocks=Basic Latin,Hangul Syllables
9733  0x000bf3a3 0x100bffa3 5   6    .text   ascii   <4$\bC
9734  0x000bf3b6 0x100bffb6 4   6    .text   utf8    LtHب blocks=Basic Latin,Arabic
9735  0x000bf431 0x100c0031 4   5    .text   ascii   ;H$B
9736  0x000bf441 0x100c0041 6   8    .text   utf8    E3(P҈H blocks=Basic Latin,Cyrillic
9737  0x000bf449 0x100c0049 4   5    .text   ascii   $ @H
9738  0x000bf55a 0x100c015a 4   6    .text   utf8    CăDd blocks=Basic Latin,Latin Extended-A
9739  0x000bf5b1 0x100c01b1 4   5    .text   ascii   USHI
9740  0x000bf649 0x100c0249 5   7    .text   utf8    fEЋY' blocks=Basic Latin,Cyrillic
9741  0x000bf67f 0x100c027f 5   6    .text   ascii   LLH@E
9742  0x000bf6a2 0x100c02a2 4   5    .text   ascii   auD9
9743  0x000bf6a7 0x100c02a7 4   5    .text   ascii   H[X 
9744  0x000bf6ac 0x100c02ac 4   6    .text   utf8    ċLHH blocks=Latin Extended-A,Basic Latin
9745  0x000bf6b6 0x100c02b6 5   7    .text   utf8    ;B̋Fw blocks=Basic Latin,Combining Diacritical Marks
9746  0x000bf766 0x100c0366 4   5    .text   ascii   (HH 
9747  0x000bf7b6 0x100c03b6 4   6    .text   utf8    HͮHA blocks=Basic Latin,Combining Diacritical Marks
9748  0x000bf7ef 0x100c03ef 5   6    .text   ascii   \a_NHu
9749  0x000bf804 0x100c0404 4   5    .text   ascii   O8rX
9750  0x000bf87a 0x100c047a 4   8    .text   utf8    HBt=
9751  0x000bf8ea 0x100c04ea 4   5    .text   ascii   C/A~
9752  0x000bf93b 0x100c053b 5   6    .text   ascii   IHrHP
9753  0x000bf959 0x100c0559 4   5    .text   ascii   A LH
9754  0x000bf9be 0x100c05be 6   8    .text   utf8    {;A$@Ë blocks=Basic Latin,Latin-1 Supplement
9755  0x000bf9df 0x100c05df 4   7    .text   utf8    O蝶uH blocks=Basic Latin,CJK Unified Ideographs
9756  0x000bfa25 0x100c0625 5   7    .text   utf8    XH\vCP
9757  0x000bfa38 0x100c0638 4   6    .text   utf8    (гH\t blocks=Basic Latin,Cyrillic
9758  0x000bfabf 0x100c06bf 5   7    .text   utf8    HDHȋ$ blocks=Basic Latin,Latin Extended-B
9759  0x000bfae6 0x100c06e6 4   5    .text   ascii   $Hut
9760  0x000bfaee 0x100c06ee 4   5    .text   ascii   Iu@|
9761  0x000bfb16 0x100c0716 7   8    .text   ascii   Hs$HHK$
9762  0x000bfb37 0x100c0737 5   6    .text   ascii   HtH}I
9763  0x000bfb64 0x100c0764 4   5    .text   ascii   \bI|E
9764  0x000bfb76 0x100c0776 4   5    .text   ascii   V@$H
9765  0x000bfbd8 0x100c07d8 4   5    .text   ascii   HL\bH
9766  0x000bfc06 0x100c0806 4   6    .text   utf8    AɃeL blocks=Basic Latin,Latin Extended-B
9767  0x000bfc0c 0x100c080c 4   5    .text   ascii   \bCH\t
9768  0x000bfc1d 0x100c081d 5   7    .text   utf8    \v0HЋL blocks=Basic Latin,Cyrillic
9769  0x000bfc3a 0x100c083a 4   6    .text   utf8    ̍(\f[ blocks=Combining Diacritical Marks,Basic Latin
9770  0x000bfc57 0x100c0857 4   5    .text   ascii   9HHP
9771  0x000bfc96 0x100c0896 4   5    .text   ascii   @H X
9772  0x000bfcb4 0x100c08b4 4   6    .text   utf8    LH\r\f
9773  0x000bfcdd 0x100c08dd 4   5    .text   ascii   B\bEH
9774  0x000bfd06 0x100c0906 4   5    .text   ascii   LH\fH
9775  0x000bfd27 0x100c0927 7   8    .text   ascii   +KA3;HH
9776  0x000bfda9 0x100c09a9 7   8    .text   ascii   HtLDHEI
9777  0x000bfdca 0x100c09ca 4   5    .text   ascii   IILA
9778  0x000bfdfc 0x100c09fc 4   5    .text   ascii   EAHd
9779  0x000bfe35 0x100c0a35 4   5    .text   ascii   MM= 
9780  0x000bfe6b 0x100c0a6b 4   10   .text   utf16le 觃贀ࠀ䠀 blocks=CJK Unified Ideographs,Samaritan,CJK Unified Ideographs Extension A
9781  0x000bfea2 0x100c0aa2 4   5    .text   ascii   Gqs=
9782  0x000bfec8 0x100c0ac8 4   5    .text   ascii   \f?HH
9783  0x000bfedb 0x100c0adb 5   7    .text   utf8    HL$=I
9784  0x000bff68 0x100c0b68 5   7    .text   utf8    :UH˄b blocks=Basic Latin,Spacing Modifier Letters
9785  0x000bff93 0x100c0b93 4   5    .text   ascii   ^OSH
9786  0x000bffb6 0x100c0bb6 4   5    .text   ascii   GA(H
9787  0x000c0098 0x100c0c98 4   6    .text   utf8    Ǎt{U blocks=Latin Extended-B,Basic Latin
9788  0x000c0143 0x100c0d43 4   5    .text   ascii   =($V
9789  0x000c01bb 0x100c0dbb 4   5    .text   ascii   \n H(
9790  0x000c01d2 0x100c0dd2 4   5    .text   ascii   tA$f
9791  0x000c0243 0x100c0e43 4   5    .text   ascii   \bHA 
9792  0x000c025b 0x100c0e5b 4   5    .text   ascii   \$A(
9793  0x000c02a3 0x100c0ea3 6   7    .text   ascii   '\bHIdH
9794  0x000c02ab 0x100c0eab 6   7    .text   ascii   \bDIpA'
9795  0x000c02d4 0x100c0ed4 4   5    .text   ascii   0$p~
9796  0x000c02f9 0x100c0ef9 4   6    .text   utf8    MǃzH blocks=Basic Latin,Latin Extended-B
9797  0x000c035b 0x100c0f5b 4   5    .text   ascii   $$H}
9798  0x000c0385 0x100c0f85 5   6    .text   ascii   f_UHB
9799  0x000c03c0 0x100c0fc0 4   5    .text   ascii   0;E\v
9800  0x000c03dc 0x100c0fdc 4   6    .text   utf8    ̓HIE blocks=Combining Diacritical Marks,Basic Latin
9801  0x000c03e6 0x100c0fe6 8   10   .text   utf8    D@1HH\bLэ blocks=Basic Latin,Cyrillic
9802  0x000c03f6 0x100c0ff6 4   5    .text   ascii    s@,
9803  0x000c0412 0x100c1012 5   8    .text   utf8    H̃HR̈ blocks=Basic Latin,Combining Diacritical Marks
9804  0x000c0427 0x100c1027 4   5    .text   ascii   $LDm
9805  0x000c048d 0x100c108d 4   6    .text   utf8    HHи' blocks=Basic Latin,Cyrillic
9806  0x000c04a3 0x100c10a3 4   5    .text   ascii   IHWt
9807  0x000c04fa 0x100c10fa 4   5    .text   ascii   0X$(
9808  0x000c0515 0x100c1115 4   5    .text   ascii   l\r[M
9809  0x000c0531 0x100c1131 4   5    .text   ascii   P;;|
9810  0x000c0577 0x100c1177 4   5    .text   ascii   8A_\
9811  0x000c05bb 0x100c11bb 4   5    .text   ascii   D@A 
9812  0x000c05f0 0x100c11f0 4   5    .text   ascii   H@HR
9813  0x000c069f 0x100c129f 5   6    .text   ascii    \HIH
9814  0x000c06c2 0x100c12c2 5   6    .text   ascii   H\fQHH
9815  0x000c0725 0x100c1325 4   5    .text   ascii   EuH|
9816  0x000c0732 0x100c1332 4   6    .text   utf8    =H1ȉ blocks=Basic Latin,Latin Extended-B
9817  0x000c0748 0x100c1348 4   6    .text   utf8    Ѝ ^H blocks=Cyrillic,Basic Latin
9818  0x000c083c 0x100c143c 4   6    .text   utf8    L̊\b\b blocks=Basic Latin,Combining Diacritical Marks
9819  0x000c0842 0x100c1442 5   7    .text   utf8    )+T׃A blocks=Basic Latin,Hebrew
9820  0x000c0858 0x100c1458 10  12   .text   utf8    M]B 0\b\eمmH blocks=Basic Latin,Arabic
9821  0x000c0907 0x100c1507 4   5    .text   ascii   AFHH
9822  0x000c090c 0x100c150c 4   5    .text   ascii   \eH<t
9823  0x000c09cc 0x100c15cc 4   6    .text   utf8    HƅAD blocks=Basic Latin,Latin Extended-B
9824  0x000c0a0c 0x100c160c 5   7    .text   utf8    JvZũ blocks=Basic Latin,Combining Diacritical Marks
9825  0x000c0a60 0x100c1660 4   5    .text   ascii   HHBH
9826  0x000c0b6c 0x100c176c 4   5    .text   ascii   LL\bu
9827  0x000c0b84 0x100c1784 6   7    .text   ascii    !H'HH
9828  0x000c0bd0 0x100c17d0 5   6    .text   ascii   HH]L^
9829  0x000c0bf7 0x100c17f7 4   5    .text   ascii   (D:H
9830  0x000c0c78 0x100c1878 5   6    .text   ascii   `;p\bH
9831  0x000c0c8d 0x100c188d 4   5    .text   ascii    H|$
9832  0x000c0cb2 0x100c18b2 7   9    .text   utf8    E\fBHHɋH blocks=Basic Latin,Latin Extended-B
9833  0x000c0d6f 0x100c196f 4   6    .text   utf8    H̺\ax blocks=Basic Latin,Combining Diacritical Marks
9834  0x000c0d91 0x100c1991 4   5    .text   ascii   BGAH
9835  0x000c0da0 0x100c19a0 5   6    .text   ascii   H H$I
9836  0x000c0e0d 0x100c1a0d 4   5    .text   ascii   LHj\n
9837  0x000c0e69 0x100c1a69 4   5    .text   ascii   xPMI
9838  0x000c0ec8 0x100c1ac8 5   6    .text   ascii   \r%H0\b
9839  0x000c0f7b 0x100c1b7b 6   7    .text   ascii   CHP$tA
9840  0x000c0f8e 0x100c1b8e 5   6    .text   ascii   (_MH[
9841  0x000c1027 0x100c1c27 4   5    .text   ascii   _IPH
9842  0x000c1055 0x100c1c55 4   6    .text   utf8    >AHH
9843  0x000c1094 0x100c1c94 4   5    .text   ascii   OuHH
9844  0x000c10aa 0x100c1caa 4   5    .text   ascii   \f|8s
9845  0x000c1181 0x100c1d81 5   8    .text   utf8    ƋHcUЋ blocks=Latin Extended-B,Basic Latin,Cyrillic
9846  0x000c1191 0x100c1d91 4   5    .text   ascii   ELIH
9847  0x000c11b3 0x100c1db3 4   6    .text   utf8    ʄ<xH blocks=IPA Extensions,Basic Latin
9848  0x000c124a 0x100c1e4a 4   6    .text   utf8    tHLÅ blocks=Basic Latin,Latin-1 Supplement
9849  0x000c13bb 0x100c1fbb 4   5    .text   ascii   u0)]
9850  0x000c13c6 0x100c1fc6 7   8    .text   ascii   DHIET& 
9851  0x000c1408 0x100c2008 4   6    .text   utf8    HH\à blocks=Basic Latin,Combining Diacritical Marks
9852  0x000c1413 0x100c2013 4   6    .text   utf8    ̍ZHH blocks=Combining Diacritical Marks,Basic Latin
9853  0x000c142a 0x100c202a 4   5    .text   ascii   BHL8
9854  0x000c1475 0x100c2075 4   5    .text   ascii   $]LV
9855  0x000c14d7 0x100c20d7 5   6    .text   ascii   wHfHD
9856  0x000c1575 0x100c2175 5   6    .text   ascii   HHH)P
9857  0x000c158c 0x100c218c 4   6    .text   utf8    Hf˅I blocks=Basic Latin,Spacing Modifier Letters
9858  0x000c163b 0x100c223b 5   6    .text   ascii   (k$HC
9859  0x000c16ae 0x100c22ae 5   6    .text   ascii   +$\n\ba
9860  0x000c16ce 0x100c22ce 4   5    .text   ascii   ULL?
9861  0x000c16f4 0x100c22f4 4   5    .text   ascii   HHH0
9862  0x000c174d 0x100c234d 4   5    .text   ascii   \bE@\
9863  0x000c1757 0x100c2357 4   5    .text   ascii   H\rI 
9864  0x000c17d4 0x100c23d4 4   6    .text   utf8    ̶YEx blocks=Combining Diacritical Marks,Basic Latin
9865  0x000c17fa 0x100c23fa 4   5    .text   ascii   .HL\a
9866  0x000c182c 0x100c242c 5   7    .text   utf8    HLHֻ` blocks=Basic Latin,Hebrew
9867  0x000c1842 0x100c2442 4   5    .text   ascii   DM$$
9868  0x000c189f 0x100c249f 4   7    .text   utf8    [ÍCĉ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-A
9869  0x000c18a6 0x100c24a6 5   6    .text   ascii    HL=\b
9870  0x000c1910 0x100c2510 5   6    .text   ascii   \f\bu:T
9871  0x000c199e 0x100c259e 4   6    .text   utf8    \r oI
9872  0x000c19d8 0x100c25d8 6   7    .text   ascii   AtE;\aH
9873  0x000c19e4 0x100c25e4 4   5    .text   ascii   \bH%H
9874  0x000c1a10 0x100c2610 4   5    .text   ascii   WH\bA
9875  0x000c1a7a 0x100c267a 5   7    .text   utf8    HDTK\v
9876  0x000c1add 0x100c26dd 6   7    .text   ascii   $xH$\r$
9877  0x000c1aef 0x100c26ef 5   6    .text   ascii   3A\EL
9878  0x000c1afa 0x100c26fa 5   6    .text   ascii   G$[#P
9879  0x000c1b31 0x100c2731 4   5    .text   ascii   hHH;
9880  0x000c1ba5 0x100c27a5 4   6    .text   utf8    HE$̋ blocks=Basic Latin,Combining Diacritical Marks
9881  0x000c1bb2 0x100c27b2 6   8    .text   utf8    9G3\̋& blocks=Basic Latin,Combining Diacritical Marks
9882  0x000c1bec 0x100c27ec 4   6    .text   utf8    D`Hɋ blocks=Basic Latin,Latin Extended-B
9883  0x000c1d66 0x100c2966 5   6    .text   ascii   HEDE~
9884  0x000c1da6 0x100c29a6 5   6    .text   ascii   K,H+t
9885  0x000c1db3 0x100c29b3 5   7    .text   utf8    $$$H̉ blocks=Basic Latin,Combining Diacritical Marks
9886  0x000c1e57 0x100c2a57 7   8    .text   ascii   \aM9\f\aB\
9887  0x000c1ebc 0x100c2abc 6   7    .text   ascii   EH$I:A
9888  0x000c1ec5 0x100c2ac5 4   6    .text   utf8    Lw̢C blocks=Basic Latin,Combining Diacritical Marks
9889  0x000c1f01 0x100c2b01 8   9    .text   ascii   =B'3HI]H
9890  0x000c1f59 0x100c2b59 6   7    .text   ascii    \fPPH$
9891  0x000c1f60 0x100c2b60 4   5    .text   ascii   `+EH
9892  0x000c1f83 0x100c2b83 6   7    .text   ascii   $f(_<+
9893  0x000c2020 0x100c2c20 4   6    .text   utf8    ,\b{ǐ blocks=Basic Latin,Latin Extended-B
9894  0x000c2034 0x100c2c34 5   6    .text   ascii   NHh3;
9895  0x000c211a 0x100c2d1a 5   6    .text   ascii   H\e$Ir
9896  0x000c2142 0x100c2d42 5   6    .text   ascii   f?AUu
9897  0x000c2177 0x100c2d77 4   5    .text   ascii   \b<HH
9898  0x000c219c 0x100c2d9c 4   5    .text   ascii   uE~\a
9899  0x000c2210 0x100c2e10 6   7    .text   ascii   3HHZH0
9900  0x000c2233 0x100c2e33 5   6    .text   ascii   HOZ_r
9901  0x000c228b 0x100c2e8b 5   6    .text   ascii   H't$u
9902  0x000c22d2 0x100c2ed2 5   6    .text   ascii   XHHpT
9903  0x000c22e4 0x100c2ee4 4   5    .text   ascii   H;MD
9904  0x000c232f 0x100c2f2f 4   6    .text   utf8    `HӍ\b blocks=Basic Latin,Cyrillic
9905  0x000c2337 0x100c2f37 4   6    .text   utf8    Z8л( blocks=Basic Latin,Cyrillic
9906  0x000c23b3 0x100c2fb3 4   5    .text   ascii   tAHP
9907  0x000c23d7 0x100c2fd7 4   5    .text   ascii   Lxp"
9908  0x000c23e7 0x100c2fe7 8   9    .text   ascii   H\auH$\fDD
9909  0x000c23fa 0x100c2ffa 4   5    .text   ascii   |HUS
9910  0x000c2471 0x100c3071 9   11   .text   utf8    Yff9H#\vHR
9911  0x000c253e 0x100c313e 4   5    .text   ascii   xu\nt
9912  0x000c257d 0x100c317d 5   6    .text   ascii   $_+ H
9913  0x000c2583 0x100c3183 5   7    .text   utf8    MHEvۍ blocks=Basic Latin,Arabic
9914  0x000c25aa 0x100c31aa 4   5    .text   ascii   B\f\bG
9915  0x000c2658 0x100c3258 4   5    .text   ascii   0HH`
9916  0x000c26bc 0x100c32bc 5   7    .text   utf8    $F̍(H blocks=Basic Latin,Combining Diacritical Marks
9917  0x000c26e2 0x100c32e2 6   7    .text   ascii   HP/8\n$
9918  0x000c270a 0x100c330a 4   5    .text   ascii   9HWH
9919  0x000c2743 0x100c3343 4   5    .text   ascii   SH2`
9920  0x000c27fa 0x100c33fa 4   7    .text   utf8    耉hI, blocks=CJK Unified Ideographs,Basic Latin
9921  0x000c282e 0x100c342e 4   5    .text   ascii   eHHL
9922  0x000c2881 0x100c3481 6   8    .text   utf8    L3L $ދ blocks=Basic Latin,Thaana
9923  0x000c288f 0x100c348f 4   5    .text   ascii    D\b 
9924  0x000c28cb 0x100c34cb 5   8    .text   utf8    ̌3$M̰ blocks=Combining Diacritical Marks,Basic Latin
9925  0x000c28eb 0x100c34eb 4   5    .text   ascii   @I}H
9926  0x000c2944 0x100c3544 4   6    .text   utf8    ̋HH' blocks=Combining Diacritical Marks,Basic Latin
9927  0x000c295a 0x100c355a 5   6    .text   ascii   LHdH\b
9928  0x000c2970 0x100c3570 6   7    .text   ascii   \v$@= A
9929  0x000c2a5a 0x100c365a 9   11   .text   utf8    @\a H H0̎H blocks=Basic Latin,Combining Diacritical Marks
9930  0x000c2a76 0x100c3676 4   7    .text   utf8    (틉8u blocks=Basic Latin,Hangul Syllables
9931  0x000c2a88 0x100c3688 5   6    .text   ascii   I{3LN
9932  0x000c2a9b 0x100c369b 6   7    .text   ascii   /$ vH\a
9933  0x000c2ba6 0x100c37a6 6   7    .text   ascii   1I\bHHS
9934  0x000c2c09 0x100c3809 4   5    .text   ascii   ;W$ 
