[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6            ascii   ]Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000277 0x00000277 7   8            ascii   @.reloc
7    0x0000041a 0x0000041a 6   8            utf8    1qooGί blocks=Basic Latin,Greek and Coptic
8    0x0000044d 0x0000044d 5   6            ascii   \r"qt1
9    0x00000463 0x00000463 6   8            utf8    hӃe\b(x blocks=Basic Latin,Cyrillic
10   0x00000480 0x00000480 5   6            ascii   1C4hV
11   0x00000558 0x00000558 4   5            ascii    ?p&
12   0x0000064f 0x0000064f 6   7            ascii   XRt7\e9
13   0x0000065d 0x0000065d 4   5            ascii   z]G}
14   0x000006a1 0x000006a1 4   6            utf8    fݟP^ blocks=Basic Latin,Arabic Supplement
15   0x000006b5 0x000006b5 6   8            utf8    \fX\t*/\t
16   0x000006fb 0x000006fb 5   8            utf8    zؒ\v[͙ blocks=Basic Latin,Arabic,Combining Diacritical Marks
17   0x000007ba 0x000007ba 4   6            utf8    w|Ο3 blocks=Basic Latin,Greek and Coptic
18   0x000007d5 0x000007d5 4   5            ascii   rDdP
19   0x000007f1 0x000007f1 4   5            ascii   5it5
1025 0x00013f12 0x00417912 5   6    .rsrc   ascii   @$\fxl
1026 0x00013f56 0x00417956 5   6    .rsrc   ascii   @$\fxp
1027 0x00013f81 0x00417981 5   6    .rsrc   ascii   @$\fxp
1028 0x00013fac 0x004179ac 5   6    .rsrc   ascii   @$\fxp
1029 0x00013fc3 0x004179c3 5   6    .rsrc   ascii   @$\fxl
1030 0x00013feb 0x004179eb 5   6    .rsrc   ascii   @$\fxp
1031 0x00014002 0x00417a02 5   6    .rsrc   ascii   @$\fxp
1032 0x0001401b 0x00417a1b 5   6    .rsrc   ascii   @$\fxl
1033 0x00014032 0x00417a32 6   7    .rsrc   ascii   rswuvp
1034 0x0001404c 0x00417a4c 5   6    .rsrc   ascii   @$\fxl
1035 0x00014074 0x00417a74 5   6    .rsrc   ascii   @$\fxl
1036 0x000140a8 0x00417aa8 5   6    .rsrc   ascii   @$\fxl
1037 0x000140ef 0x00417aef 5   6    .rsrc   ascii   @$\fxl
1038 0x0001414b 0x00417b4b 5   6    .rsrc   ascii   @$\fxl
1039 0x00014183 0x00417b83 5   6    .rsrc   ascii   @$\fxl
1040 0x0001419b 0x00417b9b 5   11   .rsrc   utf16le NNNNN
1041 0x0001420c 0x00417c0c 5   6    .rsrc   ascii   @$\fxp
1042 0x0001422a 0x00417c2a 5   6    .rsrc   ascii   @$\fxl
1043 0x0001425e 0x00417c5e 5   6    .rsrc   ascii   @$\fxl
1044 0x000142a3 0x00417ca3 5   6    .rsrc   ascii   @$\fxp
1045 0x000142ba 0x00417cba 5   6    .rsrc   ascii   @$\fxp
1046 0x000142da 0x00417cda 4   5    .rsrc   ascii   @$\fx
1047 0x0001430d 0x00417d0d 5   6    .rsrc   ascii   @$\fxl
1048 0x00014340 0x00417d40 5   6    .rsrc   ascii   @$\fxp
1049 0x0001436c 0x00417d6c 5   6    .rsrc   ascii   @$\fxp
1050 0x0001438c 0x00417d8c 5   6    .rsrc   ascii   @$\fxp
1051 0x000143aa 0x00417daa 4   5    .rsrc   ascii   @$\fx
1052 0x000143d6 0x00417dd6 4   5    .rsrc   ascii   @$\fx
1053 0x000144e0 0x00417ee0 7   8    .rsrc   ascii   GI@\nA\A
1054 0x000144eb 0x00417eeb 4   5    .rsrc   ascii   TMJC
1055 0x00014515 0x00417f15 137 138  .rsrc   ascii   eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
1056 0x0001459f 0x00417f9f 9   20   .rsrc   utf16le aHAREPMKJ
1057 0x000145b3 0x00417fb3 13  28   .rsrc   utf16le e@IMJMWPVEPKV
1058 0x0001462b 0x0041802b 15  32   .rsrc   utf16le xSMJ@KSWxW]WPAI
1059 0x0001464d 0x0041804d 9   20   .rsrc   utf16le xW]WTVATx
1060 0x00014667 0x00418067 15  32   .rsrc   utf16le xsMJ@KSWxw]WPAI
1061 0x00014689 0x00418089 8   18   .rsrc   utf16le xW]WTVAT
1062 0x0001469d 0x0041809d 13  28   .rsrc   utf16le gv}tpfewa\n@HH
1063 0x000146bf 0x004180bf 15  32   .rsrc   utf16le xsMJ@KSWxw]WPAI
1064 0x000146e1 0x004180e1 20  42   .rsrc   utf16le xW]WTVATxW]WTVAT\nA\A
1065 0x00014711 0x00418111 4   5    .rsrc   ascii   x.7h
1066 0x00014ac8 0x004184c8 10  11   .rsrc   ascii   IWRGVP\n@HH
1067 0x00014ad4 0x004184d4 7   8    .rsrc   ascii    IEHHKG
1068 0x00014add 0x004184dd 7   8    .rsrc   ascii    IAIWAP
1069 0x00014ae6 0x004184e6 9   10   .rsrc   ascii   /!WTVMJPB
1070 0x00014af1 0x004184f1 5   6    .rsrc   ascii    BVAA
1071 0x00014af8 0x004184f8 6   7    .rsrc   ascii   oavjah
1072 0x00014b00 0x00418500 4   5    .rsrc   ascii   \n@HH
1073 0x00014b05 0x00418505 20  21   .rsrc   ascii   1&cAPiK@QHAbMHAjEIAs
1074 0x00014b1a 0x0041851a 20  21   .rsrc   ascii   0&cAPiK@QHAbMHAjEIAe
1075 0x00014b30 0x00418530 9   10   .rsrc   ascii   1!sMJa\AG
1076 0x00014b3a 0x0041853a 13  14   .rsrc   ascii   >%a\MPtVKGAWW
1077 0x00014b49 0x00418549 6   7    .rsrc   ascii    wHAAT
1078 0x00014b50 0x00418550 26  27   .rsrc   ascii   @%bVAAhMFVEV]eJ@a\MPpLVAE@
1079 0x00014b6c 0x0041856c 5   6    .rsrc   ascii   wlahh
1080 0x00014b73 0x00418573 4   5    .rsrc   ascii   \n@HH
1081 0x00014b7a 0x0041857a 13  14   .rsrc   ascii   mWqWAVeJe@IMJ
1082 0x00014b8a 0x0041858a 27  28   .rsrc   ascii   wlgVAEPAmPAIbVKItEVWMJCjEIA
1083 0x00014ba7 0x004185a7 16  17   .rsrc   ascii   %wLAHHa\AGQPAa\s
1084 0x00014bbd 0x004185bd 4   5    .rsrc   ascii   \n@HH
1085 0x00014bc4 0x004185c4 12  13   .rsrc   ascii   gKmJMPMEHM^A
1086 0x00014bd4 0x004185d4 11  12   .rsrc   ascii   gKcAPkFNAGP
1087 0x00014ce8 0x004186e8 6   28   .rsrc   utf32le %%%搔搈搌 blocks=Basic Latin,CJK Unified Ideographs
1088 0x00014d0c 0x0041870c 8   9    .rsrc   ascii   qeg`HH\f\
1089 0x00014d16 0x00418716 5   6    .rsrc   ascii   \r\n@HH
1090 0x00014d1c 0x0041871c 5   6    .rsrc   ascii   tHE]\
1091 0x000150d8 0x00418ad8 808 809  .rsrc   ascii   <assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0">\r\n  <trustInfo xmlns="urn:schemas-microsoft-com:asm.v3">\r\n    <security>\r\n      <requestedPrivileges>\r\n        <requestedExecutionLevel level="asInvoker" uiAccess="false"></requestedExecutionLevel>\r\n      </requestedPrivileges>\r\n    </security>\r\n  </trustInfo>\r\n</assembly>PAPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPAD
1092 0x00015408 0x00419008 6   7    .reloc  ascii   \a060w1
1093 0x00015411 0x00419011 13  14   .reloc  ascii   1$2/2M2W2a2s2
1094 0x00015421 0x00419021 9   10   .reloc  ascii   2\e3Z3`3l3
1095 0x0001542d 0x0041902d 15  16   .reloc  ascii   3#4-4>4U4a4g4q4
1096 0x0001544f 0x0041904f 9   10   .reloc  ascii   4(5F5X5v5
1097 0x0001546b 0x0041906b 19  20   .reloc  ascii   6 6(616:6C6N6S6[6j6
1098 0x00015491 0x00419091 11  12   .reloc  ascii   7-7?7E7J7k7
1099 0x0001549f 0x0041909f 5   6    .reloc  ascii   7P8j8
1100 0x000154a7 0x004190a7 13  14   .reloc  ascii   8)919\9e9m9z9
1101 0x000154bf 0x004190bf 7   8    .reloc  ascii   9\b:#:o:
1102 0x000154cf 0x004190cf 7   8    .reloc  ascii   :\v;&;2;
1103 0x000154e1 0x004190e1 7   8    .reloc  ascii   <,<?<z<
1104 0x000154eb 0x004190eb 7   8    .reloc  ascii   <(=E=L=
1105 0x000154fb 0x004190fb 15  16   .reloc  ascii   >&>;>R>[>b>h>}>
1106 0x00015513 0x00419113 7   8    .reloc  ascii   ?;?M?t?
1107 0x00015528 0x00419128 4   5    .reloc  ascii   40]0
1108 0x00015535 0x00419135 5   6    .reloc  ascii   0C1m1
1109 0x0001553f 0x0041913f 5   6    .reloc  ascii   1<2j2
1110 0x0001554f 0x0041914f 5   6    .reloc  ascii   3G3o3
1111 0x0001556d 0x0041916d 25  26   .reloc  ascii   6$61666<6E6N6V6a6f6k6p6z6
1112 0x00015595 0x00419195 5   6    .reloc  ascii   6\a7\f7
1113 0x0001559d 0x0041919d 23  24   .reloc  ascii   7"7'7,777<7D7J7S7X7_7e7
1114 0x000155c1 0x004191c1 7   8    .reloc  ascii   8:8V8|8
1115 0x000155d5 0x004191d5 7   8    .reloc  ascii   9B9k9q9
1116 0x000155e7 0x004191e7 11  12   .reloc  ascii   :):6:=:H:b:
1117 0x00015607 0x00419207 13  14   .reloc  ascii   ; ;(;1;:;S;h;
1118 0x00015617 0x00419217 9   10   .reloc  ascii   ;&<O<u<{<
1119 0x00015637 0x00419237 15  16   .reloc  ascii   >">:>@>I>`>h>v>
1120 0x0001566d 0x0041926d 7   8    .reloc  ascii   090?0q0
1121 0x00015679 0x00419279 9   10   .reloc  ascii   141E1P1x1
1122 0x0001568d 0x0041928d 7   8    .reloc  ascii   2!2K2w2
1123 0x0001569b 0x0041929b 5   6    .reloc  ascii   3g3{3
1124 0x000156c5 0x004192c5 7   8    .reloc  ascii   4\a5f5n5
1125 0x000156e5 0x004192e5 7   8    .reloc  ascii   6%6:6z6
1126 0x000156fb 0x004192fb 5   6    .reloc  ascii   7Z9a9
1127 0x00015701 0x00419301 7   8    .reloc  ascii   :':v:|:
1128 0x0001570f 0x0041930f 9   10   .reloc  ascii   ;\v;+;b;s;
1129 0x00015747 0x00419347 7   8    .reloc  ascii   6h6m6w6
1130 0x0001574f 0x0041934f 17  18   .reloc  ascii   6P7V7\7b7h7n7u7|7
1131 0x00015783 0x00419383 15  16   .reloc  ascii   8\e8!8'8=8D8N9U9
1132 0x000157a1 0x004193a1 7   8    .reloc  ascii   ;-<@<[<
1133 0x000157b5 0x004193b5 27  28   .reloc  ascii   0 2O2t2W4S6W6[6_6c6g6k6o6|6
1134 0x000157d1 0x004193d1 7   8    .reloc  ascii   6`7j7w7
1135 0x000157e3 0x004193e3 9   10   .reloc  ascii   8/8c8i8t8
1136 0x00015801 0x00419401 17  18   .reloc  ascii   9+929J9V9\9h9w9}9
1137 0x0001582b 0x0041942b 7   8    .reloc  ascii   :4:I:o:
1138 0x00015847 0x00419447 7   8    .reloc  ascii   <&<p<w<
1139 0x00015879 0x00419479 19  20   .reloc  ascii   =)=?=J=O=Z=_=j=o=|=
1140 0x00015899 0x00419499 7   8    .reloc  ascii   >F>^>i>
1141 0x000158ad 0x004194ad 7   8    .reloc  ascii   ?8?]?p?
1142 0x000158c9 0x004194c9 11  12   .reloc  ascii   0,020U0\0u0
1143 0x000158e5 0x004194e5 11  12   .reloc  ascii   1\e242]2b2y2
1144 0x000158ff 0x004194ff 7   8    .reloc  ascii   3\r4!4'4
1145 0x0001591d 0x0041951d 7   8    .reloc  ascii   6[7a7z7
1146 0x00015925 0x00419525 13  14   .reloc  ascii   70858:8?8O8~8
1147 0x00015939 0x00419539 11  12   .reloc  ascii   9"9)9.959:9
1148 0x00015949 0x00419549 11  12   .reloc  ascii   9B:Q:`:i:~:
1149 0x00015965 0x00419565 17  18   .reloc  ascii   < ?.?4?N?S?b?k?x?
1150 0x0001599d 0x0041959d 19  20   .reloc  ascii   030:0@0N0U0Z0c0p0v0
1151 0x000159c5 0x004195c5 5   6    .reloc  ascii   5p7{7
1152 0x000159e1 0x004195e1 9   10   .reloc  ascii   8A8S8a8v8
1153 0x000159f5 0x004195f5 5   6    .reloc  ascii   9D9S9
1154 0x000159fb 0x004195fb 5   6    .reloc  ascii   ;K;k;
1155 0x00015a05 0x00419605 7   8    .reloc  ascii   <8<C<y<
1156 0x00015a19 0x00419619 11  12   .reloc  ascii   =a=m=y>^?t?
1157 0x00015a2c 0x0041962c 4   5    .reloc  ascii   \n0@0
1158 0x00015a35 0x00419635 5   6    .reloc  ascii   2?3N3
1159 0x00015a59 0x00419659 9   10   .reloc  ascii   ;a<*=[=q=
1160 0x00015a79 0x00419679 5   6    .reloc  ascii   0(0K0
1161 0x00015a7f 0x0041967f 17  18   .reloc  ascii   0\n1?1X1_1g1l1p1t1
1162 0x00015aa5 0x004196a5 11  12   .reloc  ascii   2N2T2X2\2`2
1163 0x00015abd 0x004196bd 7   8    .reloc  ascii   3!3K3}3
1164 0x00015add 0x004196dd 7   8    .reloc  ascii   3H4\4}4
1165 0x00015aeb 0x004196eb 5   6    .reloc  ascii   5T5^5
1166 0x00015af7 0x004196f7 7   8    .reloc  ascii   6"6t6z6
1167 0x00015b05 0x00419705 5   6    .reloc  ascii   7E7t7
1168 0x00015b0b 0x0041970b 7   8    .reloc  ascii   8>8H8`8
1169 0x00015b17 0x00419717 11  12   .reloc  ascii   8;:A:P:]:f:
1170 0x00015b29 0x00419729 23  24   .reloc  ascii   :J;U;_;p;{;.=?=G=M=R=X=
1171 0x00015b4b 0x0041974b 7   8    .reloc  ascii   >\e>">Y>
1172 0x00015b5b 0x0041975b 13  14   .reloc  ascii   ?=?J?V?^?f?r?
1173 0x00015b7b 0x0041977b 5   6    .reloc  ascii   070u0
1174 0x00015b8d 0x0041978d 9   10   .reloc  ascii   2#444n4{4
1175 0x00015ba7 0x004197a7 5   6    .reloc  ascii   5%5I5
1176 0x00015bb1 0x004197b1 5   6    .reloc  ascii   586U6
1177 0x00015bb7 0x004197b7 5   6    .reloc  ascii   6\t7(7
1178 0x00015bcb 0x004197cb 15  16   .reloc  ascii   8)8E8N8T8]8b8q8
1179 0x00015be5 0x004197e5 5   6    .reloc  ascii   9/:{:
1180 0x00015bf7 0x004197f7 11  12   .reloc  ascii   <%<1<h<q<}<
1181 0x00015c1d 0x0041981d 17  18   .reloc  ascii   0/040L0R0a0g0v0|0
1182 0x00015c3d 0x0041983d 5   6    .reloc  ascii   191\t3
1183 0x00015c45 0x00419845 5   6    .reloc  ascii   3=3u3
1184 0x00015c5d 0x0041985d 15  16   .reloc  ascii   6/7H7O7W7\7`7d7
1185 0x00015c81 0x00419881 11  12   .reloc  ascii   7>8D8H8L8P8
1186 0x00015c9b 0x0041989b 11  12   .reloc  ascii   9;9m9t9x9|9
1187 0x00015cb9 0x004198b9 7   8    .reloc  ascii   98:Y:e:
1188 0x00015ccb 0x004198cb 5   6    .reloc  ascii   <P=c=
1189 0x00015ce7 0x004198e7 5   6    .reloc  ascii   1R1{1
1190 0x00015d09 0x00419909 5   6    .reloc  ascii   888s8
1191 0x00015d15 0x00419915 7   8    .reloc  ascii   9%9`9|9
1192 0x00015d23 0x00419923 7   8    .reloc  ascii   :':g:y:
1193 0x00015d2f 0x0041992f 5   6    .reloc  ascii   ;B;J;
1194 0x00015d41 0x00419941 15  16   .reloc  ascii   <\e<&<;<B<H<^<y<
1195 0x00015d57 0x00419957 5   6    .reloc  ascii   >B>y>
1196 0x00015d75 0x00419975 5   6    .reloc  ascii   0"1R1
1197 0x00015d7f 0x0041997f 5   6    .reloc  ascii   2:3\v4
1198 0x00015d97 0x00419997 11  12   .reloc  ascii   5 6-8?8Q8s8
1199 0x00015daf 0x004199af 5   6    .reloc  ascii   :/;D;
1200 0x00015dbb 0x004199bb 5   6    .reloc  ascii   ;$<\<
1201 0x00015dc5 0x004199c5 7   8    .reloc  ascii   =$=H=k=
1202 0x00015ddc 0x004199dc 4   5    .reloc  ascii   K0R0
1203 0x00015de3 0x004199e3 5   6    .reloc  ascii   1:2A2
1204 0x00015df1 0x004199f1 11  12   .reloc  ascii   4V5\5a5g5n5
1205 0x00015e05 0x00419a05 5   6    .reloc  ascii   6+6\n7
1206 0x00015e25 0x00419a25 5   6    .reloc  ascii   1T2X2
1207 0x00015e37 0x00419a37 9   10   .reloc  ascii   6\b7(7H7h7
1208 0x00015e47 0x00419a47 17  18   .reloc  ascii   7\b8$8(80848P8\8x8
1209 0x00015e65 0x00419a65 9   10   .reloc  ascii   9 9<9@9`9
1210 0x00015e79 0x00419a79 9   10   .reloc  ascii   9\b:(:H:h:
1211 0x00015e8b 0x00419a8b 11  12   .reloc  ascii   :\b;(;H;h;t;
1212 0x00015ecd 0x00419acd 23  24   .reloc  ascii   2$2,242<2D2h3l3p3t3x3|3
1213 0x00015eed 0x00419aed 5   6    .reloc  ascii   4 4\b<
1214 0x00015ef3 0x00419af3 5   6    .reloc  ascii   =h=x=
1215 0x00015f0d 0x00419b0d 41  42   .reloc  ascii   =0>4>8><>@>D>H>L>P>T>X>\>`>d>h>l>p>t>x>|>
1216 0x00015f71 0x00419b71 5   6    .reloc  ascii   ?\b?\f?

