[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000138 0x00000138 5   6            ascii   drws1
1    0x0000015f 0x0000015f 6   7            ascii   `drws2
2    0x00000188 0x00000188 5   6            ascii   drws3
3    0x000001af 0x000001af 6   7            ascii   @drws4
3748 0x00038f98 0x00438f98 4   5    drws1   ascii   GXPQ
3749 0x00038faa 0x00438faa 5   6    drws1   ascii   TOpRj
3750 0x00039064 0x00439064 6   9    drws1   utf8    H#ËȋGL blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
3751 0x000390fc 0x004390fc 4   7    drws1   utf8    KȋGL blocks=Basic Latin,Latin Extended-B
3752 0x0003921d 0x0043921d 7   9    drws1   utf8    ;wHrދOH blocks=Basic Latin,Thaana
3753 0x00039255 0x00439255 6   9    drws1   utf8    H#ËȋGP blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
3754 0x000392e4 0x004392e4 4   7    drws1   utf8    KȋGP blocks=Basic Latin,Latin Extended-B
3755 0x000393ce 0x004393ce 7   9    drws1   utf8    ;wHrދOH blocks=Basic Latin,Thaana
3756 0x00039408 0x00439408 5   7    drws1   utf8    vI+IE
3757 0x0003940f 0x0043940f 5   6    drws1   ascii   ;G,v\r
3758 0x00039428 0x00439428 4   6    drws1   utf8    +KO4
3759 0x00039443 0x00439443 4   6    drws1   utf8    MԋO@ blocks=Basic Latin,Cyrillic Supplement
3760 0x00039456 0x00439456 4   6    drws1   utf8    +ȋG@ blocks=Basic Latin,Latin Extended-B
3761 0x0003945c 0x0043945c 5   8    drws1   utf8    MԉE܉E blocks=Basic Latin,Cyrillic Supplement,Syriac
3762 0x0003950f 0x0043950f 4   6    drws1   utf8     rދE blocks=Basic Latin,Thaana
3763 0x00039535 0x00439535 4   5    drws1   ascii   QRt\a
3764 0x00039841 0x00439841 4   5    drws1   ascii   F$QR
3765 0x000398b3 0x004398b3 4   5    drws1   ascii   QSVW
3766 0x000398f7 0x004398f7 6   8    drws1   utf8    ]ËU\b_^ blocks=Basic Latin,Latin-1 Supplement
3767 0x00039913 0x00439913 4   5    drws1   ascii   QSVW
3768 0x0003998b 0x0043998b 6   8    drws1   utf8    ]ËU\b_^ blocks=Basic Latin,Latin-1 Supplement
3769 0x000399a5 0x004399a5 4   5    drws1   ascii   \fSVW
3770 0x00039a9d 0x00439a9d 4   6    drws1   utf8    ЋE\b3 blocks=Cyrillic,Basic Latin
3771 0x00039ab7 0x00439ab7 6   8    drws1   utf8    ]ËE\b_^ blocks=Basic Latin,Latin-1 Supplement
3772 0x00039ae8 0x00439ae8 4   5    drws1   ascii   ]\fVW
3773 0x00039af3 0x00439af3 4   5    drws1   ascii   VVSW
3774 0x00039b11 0x00439b11 5   6    drws1   ascii   t\v_^3
3775 0x00039b2b 0x00439b2b 4   7    drws1   utf8    ؉]܉} blocks=Arabic,Basic Latin,Syriac
3776 0x00039bd9 0x00439bd9 4   6    drws1   utf8    +ދE\f blocks=Basic Latin,Thaana
3777 0x00039be3 0x00439be3 4   5    drws1   ascii   WVPQ
3778 0x00039bf7 0x00439bf7 5   6    drws1   ascii   E\fSRP
3779 0x00039c1b 0x00439c1b 4   5    drws1   ascii   <\bPu
3780 0x00039c78 0x00439c78 4   5    drws1   ascii   \b_^[
3781 0x00039c88 0x00439c88 4   5    drws1   ascii   ]\bVW
3782 0x00039c93 0x00439c93 4   5    drws1   ascii   VVWS
3783 0x00039cb1 0x00439cb1 5   6    drws1   ascii   t\v_^3
3784 0x00039cc9 0x00439cc9 4   7    drws1   utf8    ؉]܉U blocks=Arabic,Basic Latin,Syriac
3785 0x00039d79 0x00439d79 4   6    drws1   utf8    +ދE\f blocks=Basic Latin,Thaana
3786 0x00039d83 0x00439d83 4   5    drws1   ascii   WVPQ
3787 0x00039d97 0x00439d97 5   6    drws1   ascii   E\fSRP
3788 0x00039dbb 0x00439dbb 4   5    drws1   ascii   <\bPu
3789 0x00039e2b 0x00439e2b 4   5    drws1   ascii   QPWV
3790 0x00039eb8 0x00439eb8 5   6    drws1   ascii   PSQWV
3791 0x00039f04 0x00439f04 4   5    drws1   ascii   M\bSV
3792 0x00039f85 0x00439f85 4   5    drws1   ascii   tSVW
3793 0x00039f9b 0x00439f9b 4   6    drws1   utf8    ]ËFX blocks=Basic Latin,Latin-1 Supplement
3794 0x00039faa 0x00439faa 7   8    drws1   ascii   V0WQPRV
3795 0x0003a1f1 0x0043a1f1 4   5    drws1   ascii   RPQV
3796 0x0003a26e 0x0043a26e 4   5    drws1   ascii   F0PV
3797 0x0003a2c9 0x0043a2c9 4   5    drws1   ascii   u~9}
3798 0x0003a3b0 0x0043a3b0 4   5    drws1   ascii   F0PV
3799 0x0003a44a 0x0043a44a 5   6    drws1   ascii   E\fQRj
3800 0x0003a479 0x0043a479 5   11   drws1   utf16le jjjjj
3801 0x0003a4e4 0x0043a4e4 7   8    drws1   ascii   F`\vFdu\n
3802 0x0003a5be 0x0043a5be 7   8    drws1   ascii   N0WPRQV
3803 0x0003a5d7 0x0043a5d7 4   6    drws1   utf8    ]ËF0 blocks=Basic Latin,Latin-1 Supplement
3804 0x0003a7c7 0x0043a7c7 5   7    drws1   utf8    E\b3҉U blocks=Basic Latin,Cyrillic
3805 0x0003a808 0x0043a808 4   5    drws1   ascii   u\n[3
3806 0x0003a823 0x0043a823 5   6    drws1   ascii   r\ew\b;
3807 0x0003a842 0x0043a842 4   6    drws1   utf8    ~\b3\v
3808 0x0003a90f 0x0043a90f 5   6    drws1   ascii   FD)~x
3809 0x0003a9b5 0x0043a9b5 7   8    drws1   ascii   Nx\vN|tf
3810 0x0003a9e5 0x0043a9e5 4   5    drws1   ascii   NpW3
3811 0x0003a9eb 0x0043a9eb 4   5    drws1   ascii   ~hPQ
3812 0x0003aa06 0x0043aa06 5   6    drws1   ascii   )~\b)~
3813 0x0003aa56 0x0043aa56 4   6    drws1   utf8    }\b3ۅ blocks=Basic Latin,Arabic
3814 0x0003aa75 0x0043aa75 4   5    drws1   ascii   ^_[]
3815 0x0003aa93 0x0043aa93 6   7    drws1   ascii   Np;Ntt
3816 0x0003ab4b 0x0043ab4b 4   6    drws1   utf8    \b\vΉE blocks=Basic Latin,Greek and Coptic
3817 0x0003ab5d 0x0043ab5d 4   5    drws1   ascii   WVPR
3818 0x0003ac8d 0x0043ac8d 4   5    drws1   ascii   u\n9}
3819 0x0003ad06 0x0043ad06 4   6    drws1   utf8    \b\vΉE blocks=Basic Latin,Greek and Coptic
3820 0x0003ad17 0x0043ad17 4   5    drws1   ascii   WVPR
3821 0x0003adf1 0x0043adf1 4   5    drws1   ascii   u\n9}
3822 0x0003aec5 0x0043aec5 4   5    drws1   ascii   \b_^3
3823 0x0003b011 0x0043b011 8   9    drws1   ascii   F`\vFdu\r^
3824 0x0003b163 0x0043b163 4   5    drws1   ascii   \fun;
3825 0x0003b247 0x0043b247 4   5    drws1   ascii   M\bPj
3826 0x0003b2d9 0x0043b2d9 7   8    drws1   ascii   t+SVj\b3
3827 0x0003b2fc 0x0043b2fc 4   6    drws1   utf8    ^[É^ blocks=Basic Latin,Latin-1 Supplement
3828 0x0003b34c 0x0043b34c 4   5    drws1   ascii   WRPQ
3829 0x0003b376 0x0043b376 5   7    drws1   utf8    u\f3\tE
3830 0x0003b3c6 0x0043b3c6 5   7    drws1   utf8    u\f3\tE
3831 0x0003b418 0x0043b418 4   5    drws1   ascii   u\fW3
3832 0x0003b485 0x0043b485 4   6    drws1   utf8    u\f3҃ blocks=Basic Latin,Cyrillic
3833 0x0003b49a 0x0043b49a 6   7    drws1   ascii   It\nIu2
3834 0x0003b544 0x0043b544 4   6    drws1   utf8    @\b3C
3835 0x0003b69a 0x0043b69a 4   6    drws1   utf8    ɉu\b; blocks=Latin Extended-B,Basic Latin
3836 0x0003ba68 0x0043ba68 4   5    drws1   ascii   H\bf\t
3837 0x0003bf5b 0x0043bf5b 4   5    drws1   ascii   \v~Vf
3838 0x0003bfd3 0x0043bfd3 4   5    drws1   ascii   \v~Vf
3839 0x0003c04d 0x0043c04d 4   5    drws1   ascii   \f~Vf
3840 0x0003c1f7 0x0043c1f7 4   5    drws1   ascii   H\bf\t
3841 0x0003c28f 0x0043c28f 4   5    drws1   ascii   H\bf\t
3842 0x0003c30f 0x0043c30f 4   5    drws1   ascii   H\bf\t
3843 0x0003c38b 0x0043c38b 4   5    drws1   ascii   tz+4
3844 0x0003c3ac 0x0043c3ac 4   5    drws1   ascii   H\bf\t
3845 0x0003c452 0x0043c452 4   5    drws1   ascii   H\bf\t
3846 0x0003c4f2 0x0043c4f2 4   5    drws1   ascii   H\bf\t
3847 0x0003c827 0x0043c827 4   5    drws1   ascii   E\bSW
3848 0x0003cafe 0x0043cafe 5   6    drws1   ascii   \r~iSV
3849 0x0003cb0d 0x0043cb0d 4   5    drws1   ascii   H\bf\t
3850 0x0003cd36 0x0043cd36 4   5    drws1   ascii   WSPV
3851 0x0003cd6a 0x0043cd6a 4   5    drws1   ascii   \r~Rf
3852 0x0003cde1 0x0043cde1 6   7    drws1   ascii   @PAQBR
3853 0x0003ce17 0x0043ce17 4   5    drws1   ascii   \r~Rf
3854 0x0003cf09 0x0043cf09 4   5    drws1   ascii   ^_[]
3855 0x0003d40f 0x0043d40f 4   6    drws1   utf8    E\f+Ȋ blocks=Basic Latin,Latin Extended-B
3856 0x0003d440 0x0043d440 4   5    drws1   ascii   UWVS
3857 0x0003d458 0x0043d458 4   6    drws1   utf8    ;ËB4 blocks=Basic Latin,Latin-1 Supplement
3858 0x0003d55b 0x0043d55b 4   5    drws1   ascii   |$ +
3859 0x0003d5d5 0x0043d5d5 5   6    drws1   ascii   $[^_]
3860 0x0003d674 0x0043d674 4   5    drws1   ascii   WVUS
3861 0x0003d6ad 0x0043d6ad 4   6    drws1   utf8    ˉ\$< blocks=Spacing Modifier Letters,Basic Latin
3862 0x0003d70e 0x0043d70e 4   6    drws1   utf8    \v+θ\f blocks=Basic Latin,Greek and Coptic
3863 0x0003d716 0x0043d716 4   6    drws1   utf8    +M|$
3864 0x0003d74b 0x0043d74b 4   5    drws1   ascii   =@ D
3865 0x0003d757 0x0043d757 6   7    drws1   ascii   wkPSQR
3866 0x0003d775 0x0043d775 6   7    drws1   ascii   Genuu8
3867 0x0003d77d 0x0043d77d 6   7    drws1   ascii   ntelu0
3868 0x0003d785 0x0043d785 6   7    drws1   ascii   ineIu(
3869 0x0003d7bd 0x0043d7bd 5   8    drws1   utf8    ZY[X뇐 blocks=Basic Latin,Hangul Syllables
3870 0x0003d7da 0x0043d7da 5   7    drws1   utf8    L$\b#Ջ blocks=Basic Latin,Armenian
3871 0x0003d859 0x0043d859 5   7    drws1   utf8    L$\f#Ջ blocks=Basic Latin,Armenian
3872 0x0003d8a8 0x0043d8a8 5   6    drws1   ascii   +D$(;
3873 0x0003d8e5 0x0043d8e5 5   6    drws1   ascii   9|$(t
3874 0x0003d949 0x0043d949 4   6    drws1   utf8    ȋD$4 blocks=Latin Extended-B,Basic Latin
3875 0x0003d94f 0x0043d94f 5   7    drws1   utf8    ًt$8; blocks=Arabic,Basic Latin
3876 0x0003d95d 0x0043d95d 4   6    drws1   utf8    ʃ|$0 blocks=IPA Extensions,Basic Latin
3877 0x0003d98a 0x0043d98a 4   5    drws1   ascii   D$0;
3878 0x0003d999 0x0043d999 4   6    drws1   utf8    +ȋD$ blocks=Basic Latin,Latin Extended-B
3879 0x0003d9ac 0x0043d9ac 4   5    drws1   ascii   L$0;
3880 0x0003d9f8 0x0043d9f8 4   6    drws1   utf8    ɋ\$\b blocks=Latin Extended-B,Basic Latin
3881 0x0003da8a 0x0043da8a 4   6    drws1   utf8    ǋ\$\f blocks=Latin Extended-B,Basic Latin
3882 0x0003dac8 0x0043dac8 4   6    drws1   utf8    ىt$, blocks=Arabic,Basic Latin
3883 0x0003dacf 0x0043dacf 5   6    drws1   ascii   +D$(;
3884 0x0003db11 0x0043db11 5   6    drws1   ascii   9|$(t
3885 0x0003db85 0x0043db85 4   6    drws1   utf8    ȋD$4 blocks=Latin Extended-B,Basic Latin
3886 0x0003db8b 0x0043db8b 5   7    drws1   utf8    ًt$8; blocks=Arabic,Basic Latin
3887 0x0003db99 0x0043db99 4   6    drws1   utf8    ˃|$0 blocks=Spacing Modifier Letters,Basic Latin
3888 0x0003dbc2 0x0043dbc2 4   5    drws1   ascii   D$0;
3889 0x0003dbe0 0x0043dbe0 4   5    drws1   ascii   L$0;
3890 0x0003dc5d 0x0043dc5d 4   5    drws1   ascii   =@ D
3891 0x0003dc78 0x0043dc78 4   6    drws1   utf8    +ىx\f blocks=Basic Latin,Arabic
3892 0x0003dcab 0x0043dcab 4   5    drws1   ascii   =@ D
3893 0x0003dcc6 0x0043dcc6 4   6    drws1   utf8    v\n+ރ blocks=Basic Latin,Thaana
3894 0x0003dce2 0x0043dce2 4   6    drws1   utf8    v\r+߁ blocks=Basic Latin,NKo
3895 0x0003dd02 0x0043dd02 4   5    drws1   ascii   []^_
3896 0x0003ddff 0x0043ddff 4   5    drws1   ascii   t\n[_
3897 0x0003de76 0x0043de76 4   5    drws1   ascii   t6Ht
3898 0x0003de99 0x0043de99 5   7    drws1   utf8    Eܸ(L@ blocks=Basic Latin,Syriac
3899 0x0003dee1 0x0043dee1 6   10   drws1   utf8    }ԉE؉M̃ blocks=Basic Latin,Cyrillic Supplement,Arabic,Combining Diacritical Marks
3900 0x0003deec 0x0043deec 4   5    drws1   ascii   u\a=T
3901 0x0003def8 0x0043def8 4   5    drws1   ascii   u\v=P
3902 0x0003df62 0x0043df62 4   7    drws1   utf8    +ʋǋ} blocks=Basic Latin,IPA Extensions,Latin Extended-B
3903 0x0003e047 0x0043e047 4   5    drws1   ascii   ~\fBA
3904 0x0003e056 0x0043e056 6   9    drws1   utf8    uċU؋E\b blocks=Basic Latin,Latin Extended-A,Arabic
3905 0x0003e114 0x0043e114 4   5    drws1   ascii   U\fRP
3906 0x0003e11c 0x0043e11c 4   6    drws1   utf8    \f]ËM blocks=Basic Latin,Latin-1 Supplement
3907 0x0003e15d 0x0043e15d 4   5    drws1   ascii   U\fRQ
3908 0x0003e1b0 0x0043e1b0 4   5    drws1   ascii   QRt\n
3909 0x0003e1bb 0x0043e1bb 5   7    drws1   utf8    \b]Ë@$ blocks=Basic Latin,Latin-1 Supplement
3910 0x0003e290 0x0043e290 5   6    drws1   ascii   ;\rD D
3911 0x0003e37f 0x0043e37f 6   13   drws1   utf16le @jjjjj
3912 0x0003e3b1 0x0043e3b1 6   13   drws1   utf16le @jjjjj
3913 0x0003e404 0x0043e404 4   5    drws1   ascii   PQVS
3914 0x0003e609 0x0043e609 6   7    drws1   ascii   @9E\fw\f
3915 0x0003e664 0x0043e664 4   5    drws1   ascii   9]\bv
3916 0x0003e669 0x0043e669 4   5    drws1   ascii   ;E\fr
3917 0x0003e66e 0x0043e66e 4   5    drws1   ascii   ;E\fr
3918 0x0003e6a1 0x0043e6a1 6   7    drws1   ascii   0SSSSS
3919 0x0003e776 0x0043e776 4   5    drws1   ascii   v\b;M
3920 0x0003e7bd 0x0043e7bd 6   7    drws1   ascii   0SSSSS
3921 0x0003e803 0x0043e803 6   7    drws1   ascii   URPQQh
3922 0x0003e819 0x0043e819 6   8    drws1   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
3923 0x0003e82e 0x0043e82e 4   5    drws1   ascii   L$,3
3924 0x0003e880 0x0043e880 6   8    drws1   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
3925 0x0003e8e6 0x0043e8e6 4   5    drws1   ascii   UVWS
3926 0x0003e8f8 0x0043e8f8 5   7    drws1   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
3927 0x0003e919 0x0043e919 4   5    drws1   ascii   SVWj
3928 0x0003e92b 0x0043e92b 4   5    drws1   ascii   _^[]
3929 0x0003e932 0x0043e932 5   6    drws1   ascii   l$\bRQ
3930 0x0003e961 0x0043e961 5   6    drws1   ascii   s\b30W
3931 0x0003ea2f 0x0043ea2f 4   5    drws1   ascii   8csm
3932 0x0003ea37 0x0043ea37 4   5    drws1   ascii   =\bAD
3933 0x0003ea3d 0x0043ea3d 6   7    drws1   ascii   t h\bAD
3934 0x0003ea6a 0x0043ea6a 4   5    drws1   ascii   9X\ft
3935 0x0003ea70 0x0043ea70 4   5    drws1   ascii   U\bRW
3936 0x0003eac2 0x0043eac2 4   5    drws1   ascii   M\bQW
3937 0x0003eae0 0x0043eae0 4   5    drws1   ascii   WVS3
3938 0x0003eb6b 0x0043eb6b 7   8    drws1   ascii   w\br\a;D$
3939 0x0003ebc1 0x0043ebc1 4   5    drws1   ascii   \r\f%D
3940 0x0003ec7e 0x0043ec7e 4   5    drws1   ascii   D$\f3
3941 0x0003ec86 0x0043ec86 4   6    drws1   utf8    ؋D$\b blocks=Arabic,Basic Latin
3942 0x0003eccf 0x0043eccf 7   8    drws1   ascii   ;T$\fw\br
3943 0x0003ecd7 0x0043ecd7 10  11   drws1   ascii   ;D$\bv\tN+D$
3944 0x0003ece8 0x0043ece8 8   9    drws1   ascii   +D$\b\eT$\f
3945 0x0003ecf8 0x0043ecf8 4   9    drws1   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
3946 0x0003ed23 0x0043ed23 10  11   drws1   ascii   k\fUQPXY]Y[
3947 0x0003ed54 0x0043ed54 4   6    drws1   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
3948 0x0003ed5a 0x0043ed5a 4   6    drws1   utf8    A8PE
3949 0x0003edbf 0x0043edbf 4   5    drws1   ascii   _^[]
3950 0x0003ee2f 0x0043ee2f 4   6    drws1   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
3951 0x0003ee38 0x0043ee38 7   9    drws1   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
3952 0x0003ee4d 0x0043ee4d 4   6    drws1   utf8    ؋D$\b blocks=Arabic,Basic Latin
3953 0x0003ee57 0x0043ee57 4   6    drws1   utf8    ؋D$\b blocks=Arabic,Basic Latin
3954 0x0003eeb3 0x0043eeb3 5   6    drws1   ascii   Y__^[
3955 0x0003eed3 0x0043eed3 4   5    drws1   ascii   hD D
3956 0x0003ef3d 0x0043ef3d 4   5    drws1   ascii   Y_^[
3957 0x0003ef67 0x0043ef67 4   6    drws1   utf8    ؋D$\f blocks=Arabic,Basic Latin
3958 0x0003efa4 0x0043efa4 9   10   drws1   ascii   w\br\a;D$\fv
3959 0x0003f852 0x0043f852 18  19   drws1   ascii   NtTerminateProcess
3960 0x0003f868 0x0043f868 10  11   drws1   ascii   LdrLoadDll
3961 0x0003f876 0x0043f876 15  16   drws1   ascii   LdrGetDllHandle
3962 0x0003f888 0x0043f888 25  26   drws1   ascii   NtQueryInformationProcess
3963 0x0003f8a2 0x0043f8a2 9   10   drws1   ascii   ntdll.dll
3964 0x0003f8ae 0x0043f8ae 12  13   drws1   ascii   GetTickCount
3965 0x0003f8be 0x0043f8be 19  20   drws1   ascii   WaitForSingleObject
3966 0x0003f8d4 0x0043f8d4 12  13   drws1   ascii   SetLastError
3967 0x0003f8e4 0x0043f8e4 15  16   drws1   ascii   GetCommandLineW
3968 0x0003f8f6 0x0043f8f6 19  20   drws1   ascii   GetNativeSystemInfo
3969 0x0003f90c 0x0043f90c 13  14   drws1   ascii   GetDriveTypeW
3970 0x0003f91c 0x0043f91c 26  27   drws1   ascii   GetSystemDefaultUILanguage
3971 0x0003f93a 0x0043f93a 16  17   drws1   ascii   GetLogicalDrives
3972 0x0003f94e 0x0043f94e 15  16   drws1   ascii   GetProcessTimes
3973 0x0003f960 0x0043f960 18  19   drws1   ascii   GetModuleFileNameW
3974 0x0003f976 0x0043f976 8   9    drws1   ascii   lstrcmpW
3975 0x0003f982 0x0043f982 20  21   drws1   ascii   GlobalMemoryStatusEx
3976 0x0003f99a 0x0043f99a 24  25   drws1   ascii   GetUserDefaultUILanguage
3977 0x0003f9b6 0x0043f9b6 19  20   drws1   ascii   GetDiskFreeSpaceExW
3978 0x0003f9cc 0x0043f9cc 8   9    drws1   ascii   lstrcpyW
3979 0x0003f9d8 0x0043f9d8 21  22   drws1   ascii   GetVolumeInformationW
3980 0x0003f9f0 0x0043f9f0 16  17   drws1   ascii   GetModuleHandleW
3981 0x0003fa04 0x0043fa04 24  25   drws1   ascii   GetPrivateProfileStringW
3982 0x0003fa20 0x0043fa20 21  22   drws1   ascii   GetPrivateProfileIntW
3983 0x0003fa38 0x0043fa38 14  15   drws1   ascii   GetProcAddress
3984 0x0003fa4a 0x0043fa4a 23  24   drws1   ascii   TryEnterCriticalSection
3985 0x0003fa64 0x0043fa64 8   9    drws1   ascii   SetEvent
3986 0x0003fa70 0x0043fa70 25  26   drws1   ascii   InitializeCriticalSection
3987 0x0003fa8c 0x0043fa8c 5   6    drws1   ascii   Sleep
3988 0x0003fa94 0x0043fa94 20  21   drws1   ascii   LeaveCriticalSection
3989 0x0003faac 0x0043faac 20  21   drws1   ascii   EnterCriticalSection
3990 0x0003fac4 0x0043fac4 12  13   drws1   ascii   CreateEventW
3991 0x0003fad4 0x0043fad4 22  23   drws1   ascii   WaitForMultipleObjects
3992 0x0003faee 0x0043faee 21  22   drws1   ascii   DeleteCriticalSection
3993 0x0003fb06 0x0043fb06 11  12   drws1   ascii   CloseHandle
3994 0x0003fb14 0x0043fb14 12  13   drws1   ascii   GetLastError
3995 0x0003fb24 0x0043fb24 10  11   drws1   ascii   GlobalLock
3996 0x0003fb32 0x0043fb32 12  13   drws1   ascii   GlobalUnlock
3997 0x0003fb42 0x0043fb42 19  20   drws1   ascii   GetCurrentProcessId
3998 0x0003fb58 0x0043fb58 12  13   drws1   ascii   CreateThread
3999 0x0003fb68 0x0043fb68 12  13   drws1   ascii   SetEndOfFile
4000 0x0003fb78 0x0043fb78 16  17   drws1   ascii   SetFilePointerEx
4001 0x0003fb8c 0x0043fb8c 16  17   drws1   ascii   CreateDirectoryW
4002 0x0003fba0 0x0043fba0 11  12   drws1   ascii   SetFileTime
4003 0x0003fbae 0x0043fbae 9   10   drws1   ascii   WriteFile
4004 0x0003fbba 0x0043fbba 18  19   drws1   ascii   GetFileAttributesW
4005 0x0003fbd0 0x0043fbd0 8   9    drws1   ascii   ReadFile
4006 0x0003fbdc 0x0043fbdc 11  12   drws1   ascii   CreateFileW
4007 0x0003fbea 0x0043fbea 16  17   drws1   ascii   FlushFileBuffers
4008 0x0003fbfe 0x0043fbfe 12  13   drws1   ascii   GetTempPathW
4009 0x0003fc0e 0x0043fc0e 13  14   drws1   ascii   GetFileSizeEx
4010 0x0003fc1e 0x0043fc1e 11  12   drws1   ascii   GetFileTime
4011 0x0003fc2c 0x0043fc2c 11  12   drws1   ascii   DeleteFileW
4012 0x0003fc3a 0x0043fc3a 26  27   drws1   ascii   GetFileInformationByHandle
4013 0x0003fc58 0x0043fc58 18  19   drws1   ascii   SetFileAttributesW
4014 0x0003fc6e 0x0043fc6e 8   9    drws1   ascii   lstrlenW
4015 0x0003fc7a 0x0043fc7a 20  21   drws1   ascii   InterlockedIncrement
4016 0x0003fc92 0x0043fc92 20  21   drws1   ascii   InterlockedDecrement
4017 0x0003fcaa 0x0043fcaa 10  11   drws1   ascii   ResetEvent
4018 0x0003fcb8 0x0043fcb8 11  12   drws1   ascii   TlsGetValue
4019 0x0003fcc6 0x0043fcc6 11  12   drws1   ascii   TlsSetValue
4020 0x0003fcd4 0x0043fcd4 16  17   drws1   ascii   GetThreadContext
4021 0x0003fce8 0x0043fce8 16  17   drws1   ascii   SetThreadContext
4022 0x0003fcfc 0x0043fcfc 12  13   drws1   ascii   VirtualQuery
4023 0x0003fd0c 0x0043fd0c 17  18   drws1   ascii   GetCurrentProcess
4024 0x0003fd20 0x0043fd20 26  27   drws1   ascii   InterlockedCompareExchange
4025 0x0003fd3e 0x0043fd3e 16  17   drws1   ascii   GetCurrentThread
4026 0x0003fd52 0x0043fd52 21  22   drws1   ascii   FlushInstructionCache
4027 0x0003fd6a 0x0043fd6a 12  13   drws1   ascii   VirtualAlloc
4028 0x0003fd7a 0x0043fd7a 14  15   drws1   ascii   VirtualProtect
4029 0x0003fd8c 0x0043fd8c 18  19   drws1   ascii   GetCurrentThreadId
4030 0x0003fda2 0x0043fda2 12  13   drws1   ascii   ResumeThread
4031 0x0003fdb2 0x0043fdb2 11  12   drws1   ascii   VirtualFree
4032 0x0003fdc0 0x0043fdc0 12  13   drws1   ascii   LoadLibraryA
4033 0x0003fdd0 0x0043fdd0 8   9    drws1   ascii   TlsAlloc
4034 0x0003fddc 0x0043fddc 7   8    drws1   ascii   TlsFree
4035 0x0003fde6 0x0043fde6 25  26   drws1   ascii   ExpandEnvironmentStringsW
4036 0x0003fe02 0x0043fe02 13  14   drws1   ascii   GetSystemTime
4037 0x0003fe12 0x0043fe12 12  13   drws1   ascii   CreateMutexW
4038 0x0003fe22 0x0043fe22 10  11   drws1   ascii   OpenMutexW
4039 0x0003fe30 0x0043fe30 12  13   drws1   ascii   ReleaseMutex
4040 0x0003fe40 0x0043fe40 11  12   drws1   ascii   FreeLibrary
4041 0x0003fe4e 0x0043fe4e 9   10   drws1   ascii   lstrcmpiW
4042 0x0003fe5a 0x0043fe5a 17  18   drws1   ascii   SetThreadPriority
4043 0x0003fe6e 0x0043fe6e 17  18   drws1   ascii   GetThreadPriority
4044 0x0003fe82 0x0043fe82 23  24   drws1   ascii   GetEnvironmentVariableW
4045 0x0003fe9c 0x0043fe9c 14  15   drws1   ascii   CreateProcessW
4046 0x0003feae 0x0043feae 11  12   drws1   ascii   OpenProcess
4047 0x0003febc 0x0043febc 13  14   drws1   ascii   Thread32First
4048 0x0003fecc 0x0043fecc 12  13   drws1   ascii   Thread32Next
4049 0x0003fedc 0x0043fedc 24  25   drws1   ascii   CreateToolhelp32Snapshot
4050 0x0003fef8 0x0043fef8 15  16   drws1   ascii   TerminateThread
4051 0x0003ff0a 0x0043ff0a 15  16   drws1   ascii   DuplicateHandle
4052 0x0003ff1c 0x0043ff1c 8   9    drws1   ascii   lstrlenA
4053 0x0003ff28 0x0043ff28 11  12   drws1   ascii   HeapReAlloc
4054 0x0003ff36 0x0043ff36 9   10   drws1   ascii   HeapAlloc
4055 0x0003ff42 0x0043ff42 8   9    drws1   ascii   HeapFree
4056 0x0003ff4e 0x0043ff4e 11  12   drws1   ascii   HeapDestroy
4057 0x0003ff5c 0x0043ff5c 10  11   drws1   ascii   HeapCreate
4058 0x0003ff6a 0x0043ff6a 11  12   drws1   ascii   MoveFileExW
4059 0x0003ff78 0x0043ff78 14  15   drws1   ascii   UnregisterWait
4060 0x0003ff8a 0x0043ff8a 27  28   drws1   ascii   RegisterWaitForSingleObject
4061 0x0003ffa8 0x0043ffa8 12  13   drws1   ascii   IsBadReadPtr
4062 0x0003ffb8 0x0043ffb8 11  12   drws1   ascii   ExitProcess
4063 0x0003ffc6 0x0043ffc6 23  24   drws1   ascii   GetSystemTimeAsFileTime
4064 0x0003ffe0 0x0043ffe0 12  13   drws1   ascii   LoadLibraryW
4065 0x0003fff0 0x0043fff0 28  29   drws1   ascii   WTSGetActiveConsoleSessionId
4066 0x00040010 0x00440010 13  14   drws1   ascii   VirtualFreeEx
4067 0x00040020 0x00440020 12  13   drws1   ascii   GetProcessId
4068 0x00040030 0x00440030 13  14   drws1   ascii   MapViewOfFile
4069 0x00040040 0x00440040 15  16   drws1   ascii   UnmapViewOfFile
4070 0x00040052 0x00440052 18  19   drws1   ascii   CreateFileMappingW
4071 0x00040068 0x00440068 9   10   drws1   ascii   LocalFree
4072 0x00040074 0x00440074 8   9    drws1   ascii   lstrcatW
