[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
1024 0x0000b22e 0x0044ee2e 4   5    UPX1    ascii   busB
1025 0x0000b234 0x0044ee34 4   5    UPX1    ascii   rr,n
1026 0x0000b23c 0x0044ee3c 8   9    UPX1    ascii   di6cfry 
1027 0x0000b245 0x0044ee45 5   6    UPX1    ascii   t,mpt
1028 0x0000b24e 0x0044ee4e 12  13   UPX1    ascii   >nvalid argu
1029 0x0000b26d 0x0044ee6d 4   6    UPX1    utf8    ˗Wun blocks=Spacing Modifier Letters,Basic Latin
1030 0x0000b279 0x0044ee79 5   6    UPX1    ascii   Jpp,t
1031 0x0000b289 0x0044ee89 4   5    UPX1    ascii   jabp
1032 0x0000b2b1 0x0044eeb1 6   8    UPX1    utf8    ͢"khoa blocks=Combining Diacritical Marks,Basic Latin
1033 0x0000b2d0 0x0044eed0 4   5    UPX1    ascii   _add
1034 0x0000b2d9 0x0044eed9 5   6    UPX1    ascii   &_iDe
1035 0x0000b2e3 0x0044eee3 5   6    UPX1    ascii   6_W/f
1036 0x0000b2ec 0x0044eeec 4   5    UPX1    ascii   5&y=
1037 0x0000b2ff 0x0044eeff 12  14   UPX1    utf8    5WХpZgm>b"_` blocks=Basic Latin,Cyrillic
1038 0x0000b313 0x0044ef13 5   6    UPX1    ascii   ip\gk
1039 0x0000b329 0x0044ef29 4   5    UPX1    ascii    [|\v
1040 0x0000b32e 0x0044ef2e 6   7    UPX1    ascii   D)78qu
1041 0x0000b33d 0x0044ef3d 4   5    UPX1    ascii   hdZa
1042 0x0000b34c 0x0044ef4c 5   6    UPX1    ascii   gMFnt
1043 0x0000b365 0x0044ef65 4   5    UPX1    ascii   ___m
1044 0x0000b381 0x0044ef81 6   8    UPX1    utf8    نk$ow` blocks=Arabic,Basic Latin
1045 0x0000b398 0x0044ef98 4   5    UPX1    ascii   fF_-
1046 0x0000b3bb 0x0044efbb 4   6    UPX1    utf8    Żwr^ blocks=Latin Extended-A,Basic Latin
1047 0x0000b3d3 0x0044efd3 5   6    UPX1    ascii   w l*b
1048 0x0000b3dc 0x0044efdc 5   6    UPX1    ascii   )2 #?
1049 0x0000b3fe 0x0044effe 4   5    UPX1    ascii   fRom
1050 0x0000b418 0x0044f018 6   7    UPX1    ascii   R&p2eG
1051 0x0000b430 0x0044f030 4   5    UPX1    ascii   \f   
1052 0x0000b441 0x0044f041 4   5    UPX1    ascii   mP}w
1053 0x0000b462 0x0044f062 4   5    UPX1    ascii   l by
1054 0x0000b488 0x0044f088 6   7    UPX1    ascii   (x_lek
1055 0x0000b492 0x0044f092 4   5    UPX1    ascii   )Z.\n
1056 0x0000b4a4 0x0044f0a4 4   5    UPX1    ascii      2
1057 0x0000b4a9 0x0044f0a9 4   6    UPX1    utf8    Kաhd blocks=Basic Latin,Armenian
1058 0x0000b4af 0x0044f0af 5   6    UPX1    ascii   c='68
1059 0x0000b4f3 0x0044f0f3 6   7    UPX1    ascii   ncstb/
1060 0x0000b4fa 0x0044f0fa 6   8    UPX1    utf8    UZړ/\a  blocks=Basic Latin,Arabic
1061 0x0000b549 0x0044f149 5   6    UPX1    ascii   t\WxE
1062 0x0000b55c 0x0044f15c 6   7    UPX1    ascii   k\v/?3s
1063 0x0000b567 0x0044f167 8   9    UPX1    ascii   Bmf(c1\be
1064 0x0000b581 0x0044f181 4   5    UPX1    ascii   9{Y&
1065 0x0000b586 0x0044f186 4   5    UPX1    ascii   \\'\a
1066 0x0000b590 0x0044f190 4   5    UPX1    ascii   ?6H]
1067 0x0000b5dd 0x0044f1dd 5   7    UPX1    utf8    Z*Ҕ>) blocks=Basic Latin,Cyrillic
1068 0x0000b5ef 0x0044f1ef 5   6    UPX1    ascii   A>|T6
1069 0x0000b5f9 0x0044f1f9 4   5    UPX1    ascii   hPU9
1070 0x0000b63f 0x0044f23f 5   6    UPX1    ascii   .4mjW
1071 0x0000b648 0x0044f248 4   5    UPX1    ascii   C&Ex
1072 0x0000b65d 0x0044f25d 4   5    UPX1    ascii   \b\t`\n
1073 0x0000b688 0x0044f288 4   5    UPX1    ascii    hP!
1074 0x0000b69a 0x0044f29a 5   6    UPX1    ascii   9r0zL
1075 0x0000b6ac 0x0044f2ac 4   5    UPX1    ascii   2b\r*
1076 0x0000b6b1 0x0044f2b1 4   5    UPX1    ascii   (V-v
1077 0x0000b6bb 0x0044f2bb 7   8    UPX1    ascii   LhiJgWp
1078 0x0000b6f7 0x0044f2f7 6   8    UPX1    utf8    a\ngBm!
1079 0x0000b71a 0x0044f31a 4   5    UPX1    ascii   zb{O
1080 0x0000b726 0x0044f326 5   6    UPX1    ascii   a *es
1081 0x0000b738 0x0044f338 4   5    UPX1    ascii   6?t2
1082 0x0000b754 0x0044f354 7   8    UPX1    ascii   eRekm.l
1083 0x0000b7c6 0x0044f3c6 6   7    UPX1    ascii   P4o2/{
1084 0x0000b7ce 0x0044f3ce 4   5    UPX1    ascii   wsNd
1085 0x0000b7ea 0x0044f3ea 5   6    UPX1    ascii   S\eT\8
1086 0x0000b7fa 0x0044f3fa 6   8    UPX1    utf8    V[{C&T
1087 0x0000b809 0x0044f409 5   6    UPX1    ascii   1A^iQ
1088 0x0000b812 0x0044f412 5   6    UPX1    ascii   mt#\f{
1089 0x0000b81c 0x0044f41c 4   5    UPX1    ascii   m33a
1090 0x0000b83c 0x0044f43c 4   5    UPX1    ascii   ?\nyp
1091 0x0000b87b 0x0044f47b 4   5    UPX1    ascii   :`gs
1092 0x0000b8d6 0x0044f4d6 7   8    UPX1    ascii   =8nGrnj
1093 0x0000b8e2 0x0044f4e2 12  15   UPX1    utf8    \vsD'Mvi67䀯4? blocks=Basic Latin,CJK Unified Ideographs Extension A
1094 0x0000b8fe 0x0044f4fe 8   9    UPX1    ascii   g[-CXeq\r
1095 0x0000b919 0x0044f519 6   7    UPX1    ascii   gS3G7m
1096 0x0000b921 0x0044f521 9   10   UPX1    ascii   pTnOBS;G`
1097 0x0000b92e 0x0044f52e 4   5    UPX1    ascii   n/mO
1098 0x0000b935 0x0044f535 7   8    UPX1    ascii   o ?RE!|
1099 0x0000b941 0x0044f541 9   10   UPX1    ascii   P\eg\naB:k<
1100 0x0000b94b 0x0044f54b 5   6    UPX1    ascii   mX[J+
1101 0x0000b966 0x0044f566 4   6    UPX1    utf8    MËs? blocks=Basic Latin,Latin-1 Supplement
1102 0x0000b987 0x0044f587 7   8    UPX1    ascii   GetCurr
1103 0x0000b98f 0x0044f58f 4   5    UPX1    ascii   Pack
1104 0x0000b998 0x0044f598 6   7    UPX1    ascii   Id'r/l
1105 0x0000b9a0 0x0044f5a0 4   5    UPX1    ascii   b|;C
1106 0x0000b9dc 0x0044f5dc 4   6    UPX1    utf8    10tÓ blocks=Basic Latin,Latin-1 Supplement
1107 0x0000b9e4 0x0044f5e4 5   6    UPX1    ascii   o.asi
1108 0x0000b9f4 0x0044f5f4 12  13   UPX1    ascii   \a_6.taceiQfp
1109 0x0000ba0d 0x0044f60d 7   8    UPX1    ascii   9eMsqrt
1110 0x0000ba23 0x0044f623 4   5    UPX1    ascii   Jp~_
1111 0x0000ba34 0x0044f634 4   5    UPX1    ascii   .o.K
1112 0x0000ba51 0x0044f651 7   8    UPX1    ascii   Fri.(7s
1113 0x0000ba74 0x0044f674 8   9    UPX1    ascii   v('JfFeb
1114 0x0000ba93 0x0044f693 5   6    UPX1    ascii   Ve6Oc
1115 0x0000ba99 0x0044f699 7   8    UPX1    ascii   NoVDec_
1116 0x0000baa4 0x0044f6a4 5   6    UPX1    ascii   uTygr
1117 0x0000baaf 0x0044f6af 5   7    UPX1    utf8    Ýh~A~ blocks=Latin-1 Supplement,Basic Latin
1118 0x0000bad7 0x0044f6d7 5   6    UPX1    ascii   PMM/d
1119 0x0000bae6 0x0044f6e6 4   5    UPX1    ascii   , M 
1120 0x0000baf0 0x0044f6f0 7   8    UPX1    ascii   ,HH:mm:
1121 0x0000bb01 0x0044f701 4   5    UPX1    ascii   TeW]
1122 0x0000bb12 0x0044f712 4   5    UPX1    ascii   ^3oo
1123 0x0000bb31 0x0044f731 5   6    UPX1    ascii   J'Jzj
1124 0x0000bb92 0x0044f792 4   5    UPX1    ascii   [0G'
1125 0x0000bbaf 0x0044f7af 4   6    UPX1    utf8     #\aܻ blocks=Basic Latin,Syriac
1126 0x0000bbcf 0x0044f7cf 7   8    UPX1    ascii   \a\b\t\n\v\f\r
1127 0x0000bbec 0x0044f7ec 16  17   UPX1    ascii    !"#$%&'()*+,-./
1128 0x0000bc01 0x0044f801 15  16   UPX1    ascii   3456789:;<=>?@n
1129 0x0000bc13 0x0044f813 16  17   UPX1    ascii   ABCDEFGHIJKLMNOP
1130 0x0000bc28 0x0044f828 7   8    UPX1    ascii   T2XYZ[\
1131 0x0000bc34 0x0044f834 19  20   UPX1    ascii   `abcdefghijklmnop<S
1132 0x0000bc4b 0x0044f84b 12  13   UPX1    ascii   uvwxyz{|}~d(
1133 0x0000bc5b 0x0044f85b 6   8    UPX1    utf8    Vlz(Kͭ blocks=Basic Latin,Combining Diacritical Marks
1134 0x0000bc78 0x0044f878 7   8    UPX1    ascii   50w` 8P
1135 0x0000bc86 0x0044f886 5   6    UPX1    ascii   700WP
1136 0x0000bc93 0x0044f893 4   5    UPX1    ascii   \b`h`
1137 0x0000bcae 0x0044f8ae 4   5    UPX1    ascii   \eUjF
1138 0x0000bcbd 0x0044f8bd 4   5    UPX1    ascii   'NQo
1139 0x0000bce5 0x0044f8e5 4   5    UPX1    ascii   BoxW
1140 0x0000bcec 0x0044f8ec 4   5    UPX1    ascii   |&A|
1141 0x0000bcfd 0x0044f8fd 6   7    UPX1    ascii   as'P>u
1142 0x0000bd04 0x0044f904 4   5    UPX1    ascii   &Us\a
1143 0x0000bd09 0x0044f909 6   7    UPX1    ascii   [w\fObj
1144 0x0000bd10 0x0044f910 4   5    UPX1    ascii   Ing,
1145 0x0000bd32 0x0044f932 4   5    UPX1    ascii   .~2n
1146 0x0000bd3f 0x0044f93f 10  11   UPX1    ascii    _c_hypot{
1147 0x0000bd4e 0x0044f94e 5   6    UPX1    ascii   ?fry0
1148 0x0000bd58 0x0044f958 6   7    UPX1    ascii   1nXb'n
1149 0x0000bd7b 0x0044f97b 4   5    UPX1    ascii    ,\tu
1150 0x0000bd8d 0x0044f98d 4   5    UPX1    ascii   0P6D
1151 0x0000bda4 0x0044f9a4 4   5    UPX1    ascii   hlx|
1152 0x0000bde6 0x0044f9e6 5   6    UPX1    ascii    8DXx
1153 0x0000be0d 0x0044fa0d 4   5    UPX1    ascii   $4Pp
1154 0x0000be1a 0x0044fa1a 4   5    UPX1    ascii   0Tx@
1155 0x0000be28 0x0044fa28 5   6    UPX1    ascii   9\tB@}
1156 0x0000be33 0x0044fa33 7   8    UPX1    ascii   cT&pcal
1157 0x0000be4e 0x0044fa4e 4   5    UPX1    ascii   hrGe
1158 0x0000be5a 0x0044fa5a 7   8    UPX1    ascii   r64Nrex
1159 0x0000be64 0x0044fa64 4   5    UPX1    ascii   rict
1160 0x0000be69 0x0044fa69 5   6    UPX1    ascii   lign"
1161 0x0000be77 0x0044fa77 4   5    UPX1    ascii   [BQs
1162 0x0000be7d 0x0044fa7d 4   5    UPX1    ascii   lLe>
1163 0x0000be88 0x0044fa88 10  11   UPX1    ascii   <<==![]{!l
1164 0x0000bea7 0x0044faa7 4   5    UPX1    ascii   &72/
1165 0x0000beb7 0x0044fab7 5   6    UPX1    ascii   ,()~^
1166 0x0000bec0 0x0044fac0 5   6    UPX1    ascii   f|h||
1167 0x0000becc 0x0044facc 6   7    UPX1    ascii   y/%oh<
1168 0x0000beda 0x0044fada 6   7    UPX1    ascii   ^`vf+'
1169 0x0000beef 0x0044faef 4   5    UPX1    ascii   of$&
1170 0x0000bf1f 0x0044fb1f 4   5    UPX1    ascii   ;>:a
1171 0x0000bf2c 0x0044fb2c 6   8    UPX1    utf8    surmŞ\t blocks=Basic Latin,Latin Extended-A
1172 0x0000bf3c 0x0044fb3c 5   6    UPX1    ascii   }i:aA
1173 0x0000bf45 0x0044fb45 4   5    UPX1    ascii   Z=?u
1174 0x0000bf4d 0x0044fb4d 4   5    UPX1    ascii   \v`Fu
1175 0x0000bf5e 0x0044fb5e 4   5    UPX1    ascii   X1&p
1176 0x0000bf71 0x0044fb71 7   8    UPX1    ascii   ?\rN.py!
1177 0x0000bf7a 0x0044fb7a 5   6    UPX1    ascii   `Q`D4
1178 0x0000bf8a 0x0044fb8a 4   5    UPX1    ascii   RTTI
1179 0x0000bf8f 0x0044fb8f 4   5    UPX1    ascii   \eE*w
1180 0x0000bfbb 0x0044fbbb 6   9    UPX1    utf8    j耰&dyO blocks=Basic Latin,CJK Unified Ideographs
1181 0x0000c01b 0x0044fc1b 4   5    UPX1    ascii   Cl\ns
1182 0x0000c025 0x0044fc25 5   6    UPX1    ascii    (7Ar
1183 0x0000c03b 0x0044fc3b 4   5    UPX1    ascii   >Xp'
1184 0x0000c052 0x0044fc52 7   8    UPX1    ascii   \t( +9hU
1185 0x0000c09b 0x0044fc9b 4   5    UPX1    ascii   _h+\b
1186 0x0000c176 0x0044fd76 8   10   UPX1    utf8    j('8PWF\a
1187 0x0000c186 0x0044fd86 4   5    UPX1    ascii    (0r
1188 0x0000c192 0x0044fd92 7   8    UPX1    ascii   \b\b\axppw
1189 0x0000c1a1 0x0044fda1 5   6    UPX1    ascii   teFP\v
1190 0x0000c1be 0x0044fdbe 4   5    UPX1    ascii   SNAN
1191 0x0000c1c7 0x0044fdc7 4   5    UPX1    ascii   F/Q;
1192 0x0000c1ce 0x0044fdce 4   5    UPX1    ascii   gene
1193 0x0000c1ff 0x0044fdff 5   6    UPX1    ascii   vWP_v
1194 0x0000c205 0x0044fe05 6   7    UPX1    ascii   kM\t?g_
1195 0x0000c233 0x0044fe33 7   8    UPX1    ascii   .ERROR:
1196 0x0000c242 0x0044fe42 4   5    UPX1    ascii   :%d\n
1197 0x0000c258 0x0044fe58 4   7    UPX1    utf8    *་s\e blocks=Basic Latin,Tibetan
1198 0x0000c25f 0x0044fe5f 6   7    UPX1    ascii   *a>h\b<
1199 0x0000c26d 0x0044fe6d 8   9    UPX1    ascii   k\alWn7cG
1200 0x0000c281 0x0044fe81 4   5    UPX1    ascii   27.0
1201 0x0000c28f 0x0044fe8f 5   6    UPX1    ascii   oniVp
1202 0x0000c2a0 0x0044fea0 4   5    UPX1    ascii   u/v%
1203 0x0000c2aa 0x0044feaa 12  13   UPX1    ascii   S'gj HKEY_CU
1204 0x0000c2bb 0x0044febb 6   7    UPX1    ascii   ENT_US
1205 0x0000c2c2 0x0044fec2 9   10   UPX1    ascii   \Softwa>\
1206 0x0000c2d0 0x0044fed0 13  14   UPX1    ascii   t\msco\shell\
1207 0x0000c2e4 0x0044fee4 6   7    UPX1    ascii   mFz/t 
1208 0x0000c2ee 0x0044feee 6   7    UPX1    ascii   pG_EXP
1209 0x0000c2f5 0x0044fef5 6   7    UPX1    ascii   D_SZ &
1210 0x0000c30b 0x0044ff0b 4   5    UPX1    ascii   cLv:
1211 0x0000c328 0x0044ff28 5   6    UPX1    ascii   Pxn\6
1212 0x0000c32e 0x0044ff2e 7   8    UPX1    ascii   igGc]Th
1213 0x0000c376 0x0044ff76 7   8    UPX1    ascii    BITS\r\n
1214 0x0000c383 0x0044ff83 9   10   UPX1    ascii   i1 c:\wx&
1215 0x0000c390 0x0044ff90 6   8    UPX1    utf8    M32\^Ã blocks=Basic Latin,Latin-1 Supplement
1216 0x0000c399 0x0044ff99 5   6    UPX1    ascii   7T% p
1217 0x0000c3ac 0x0044ffac 6   7    UPX1    ascii   JNo$yC
1218 0x0000c3b8 0x0044ffb8 8   10   UPX1    utf8    ܟ"\f"\b"SR blocks=Syriac,Basic Latin
1219 0x0000c3d7 0x0044ffd7 5   6    UPX1    ascii   Wk\6{
1220 0x0000c3f2 0x0044fff2 4   5    UPX1    ascii   b -h
1221 0x0000c401 0x00450001 4   5    UPX1    ascii   /q=b
1222 0x0000c41f 0x0045001f 4   5    UPX1    ascii   PT\L
1223 0x0000c444 0x00450044 4   5    UPX1    ascii   .fx'
1224 0x0000c44d 0x0045004d 4   5    UPX1    ascii    ccC
1225 0x0000c469 0x00450069 11  12   UPX1    ascii   )*}[Mw/pos,
1226 0x0000c4d0 0x004500d0 4   6    UPX1    utf8    \aȋ=( blocks=Basic Latin,Latin Extended-B
1227 0x0000c4d9 0x004500d9 7   10   UPX1    utf8    .乐\bxXh. blocks=Basic Latin,CJK Unified Ideographs
1228 0x0000c4e3 0x004500e3 6   7    UPX1    ascii   \vyxxX'
1229 0x0000c54b 0x0045014b 4   6    UPX1    utf8    \ϋh[ blocks=Basic Latin,Greek and Coptic
1230 0x0000c561 0x00450161 4   5    UPX1    ascii   5\eLD
1231 0x0000c594 0x00450194 4   5    UPX1    ascii   vJn7
1232 0x0000c5ea 0x004501ea 5   7    UPX1    utf8    OdصSl blocks=Basic Latin,Arabic
1233 0x0000c5f3 0x004501f3 4   6    UPX1    utf8    Ođ\f\f blocks=Basic Latin,Latin Extended-A
1234 0x0000c63b 0x0045023b 4   6    UPX1    utf8    Oɰwv blocks=Basic Latin,IPA Extensions
1235 0x0000c685 0x00450285 6   7    UPX1    ascii   \eCSuvv
1236 0x0000c6f8 0x004502f8 5   6    UPX1    ascii   \f.v;b
1237 0x0000c71c 0x0045031c 7   8    UPX1    ascii   ?AVn_@0
1238 0x0000c72e 0x0045032e 5   6    UPX1    ascii   7Riba
1239 0x0000c73d 0x0045033d 10  11   UPX1    ascii   ~engthA?mi
1240 0x0000c74a 0x0045034a 4   5    UPX1    ascii   _of_
1241 0x0000c787 0x00450387 5   6    UPX1    ascii   \b\t\n7\v
1242 0x0000c7a7 0x004503a7 6   7    UPX1    ascii   CPgR/S
1243 0x0000c7b6 0x004503b6 5   6    UPX1    ascii   l/mV 
1244 0x0000c7e3 0x004503e3 5   6    UPX1    ascii   %\rOn?
1245 0x0000c874 0x00450474 4   6    UPX1    utf8    PՑ?1 blocks=Basic Latin,Armenian
1246 0x0000c8b5 0x004504b5 5   6    UPX1    ascii   0^<DL
1247 0x0000c8c0 0x004504c0 4   5    UPX1    ascii   ydpx
1248 0x0000c8e8 0x004504e8 5   6    UPX1    ascii   ,@Tdx
1249 0x0000c911 0x00450511 7   8    UPX1    ascii    ,<P`t<
1250 0x0000c961 0x00450561 4   5    UPX1    ascii   \n`h?
1251 0x0000c982 0x00450582 6   7    UPX1    ascii   /?_`2[
1252 0x0000c9b6 0x004505b6 5   6    UPX1    ascii   !#ggG
1253 0x0000c9d5 0x004505d5 8   9    UPX1    ascii   @ oD\f$\v,
1254 0x0000ca00 0x00450600 4   5    UPX1    ascii   % &{
1255 0x0000ca1a 0x0045061a 5   6    UPX1    ascii   vl'B(
1256 0x0000ca20 0x00450620 4   5    UPX1    ascii   fS'.
1257 0x0000ca5e 0x0045065e 4   5    UPX1    ascii   #Ez#
1258 0x0000cae0 0x004506e0 4   5    UPX1    ascii   xx@o
1259 0x0000caf5 0x004506f5 4   5    UPX1    ascii   kU'9
1260 0x0000cb54 0x00450754 5   8    UPX1    utf8    B䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
1261 0x0000cb8f 0x0045078f 5   8    UPX1    utf8    ]݀nLɛ blocks=Basic Latin,Syriac,IPA Extensions
1262 0x0000cbac 0x004507ac 7   9    UPX1    utf8    ?q=\nףp\t blocks=Basic Latin,Hebrew
1263 0x0000cbb5 0x004507b5 4   5    UPX1    ascii   ?Zd;
1264 0x0000cc05 0x00450805 4   5    UPX1    ascii   ?/L[
1265 0x0000cc18 0x00450818 4   5    UPX1    ascii   S;uD
1266 0x0000cc2b 0x0045082b 4   6    UPX1    utf8    ϔ?$# blocks=Greek and Coptic,Basic Latin
1267 0x0000cc3c 0x0045083c 5   6    UPX1    ascii   z?aUY
1268 0x0000cc6f 0x0045086f 4   5    UPX1    ascii   U>c{
1269 0x0000cc85 0x00450885 8   10   UPX1    utf8    zc%C1,<!
1270 0x0000cca8 0x004508a8 5   7    UPX1    utf8    ;ƄEB\a blocks=Basic Latin,Latin Extended-B
1271 0x0000ccb3 0x004508b3 4   5    UPX1    ascii   .:3q
1272 0x0000cce0 0x004508e0 4   5    UPX1    ascii   -64O
1273 0x0000cd36 0x00450936 5   6    UPX1    ascii   QWIy[
1274 0x0000cd45 0x00450945 5   7    UPX1    utf8    رWEQU blocks=Arabic,Basic Latin
1275 0x0000cd55 0x00450955 4   5    UPX1    ascii   KXG_
1276 0x0000cd60 0x00450960 4   5    UPX1    ascii   SUBB
1277 0x0000cd65 0x00450965 9   10   UPX1    ascii   p_T \v (HB
1278 0x0000cdeb 0x004509eb 6   7    UPX1    ascii   s].xml
1279 0x0000cdfd 0x004509fd 7   11   UPX1    utf8    -Jܲ@\b%킟 blocks=Basic Latin,Syriac,Hangul Syllables
1280 0x0000ce11 0x00450a11 4   6    UPX1    utf8    Icձ- blocks=Basic Latin,Armenian
1281 0x0000ce21 0x00450a21 5   6    UPX1    ascii   HAUiU
1282 0x0000cec1 0x00450ac1 7   8    UPX1    ascii   5J&J/6N
1283 0x0000ced4 0x00450ad4 4   6    UPX1    utf8    y'vѪ blocks=Basic Latin,Cyrillic
1284 0x0000cef2 0x00450af2 4   6    UPX1    utf8    wPɵM blocks=Basic Latin,IPA Extensions
1285 0x0000cf1d 0x00450b1d 5   7    UPX1    utf8    ߐZXy# blocks=NKo,Basic Latin
1286 0x0000cf82 0x00450b82 9   10   UPX1    ascii   (vo.ls/.\v
1287 0x0000cf9a 0x00450b9a 4   5    UPX1    ascii   tS!u
1288 0x0000cfc2 0x00450bc2 6   9    UPX1    utf8    Ө^؇^l\t blocks=Cyrillic,Basic Latin,Arabic
1289 0x0000d024 0x00450c24 4   5    UPX1    ascii   0V\aS
1290 0x0000d0a7 0x00450ca7 10  11   UPX1    ascii   Fetrash]/0
1291 0x0000d0da 0x00450cda 4   5    UPX1    ascii   ok#'
1292 0x0000d13e 0x00450d3e 5   6    UPX1    ascii   #\r31l
1293 0x0000d1a4 0x00450da4 4   5    UPX1    ascii   \r?:K
1294 0x0000d1b6 0x00450db6 4   7    UPX1    utf8    茰hjq blocks=CJK Unified Ideographs,Basic Latin
1295 0x0000d1cb 0x00450dcb 5   6    UPX1    ascii   \fsj1.
1296 0x0000d1ea 0x00450dea 6   7    UPX1    ascii   qth \v1
1297 0x0000d1f6 0x00450df6 5   6    UPX1    ascii   [Oo\eE
1298 0x0000d2d8 0x00450ed8 4   5    UPX1    ascii   B:W/
1299 0x0000d2ee 0x00450eee 4   5    UPX1    ascii   \tq!
1300 0x0000d31d 0x00450f1d 4   5    UPX1    ascii   \rgU}
1301 0x0000d360 0x00450f60 4   5    UPX1    ascii   k&H.
1302 0x0000d387 0x00450f87 4   5    UPX1    ascii   j}\tt
1303 0x0000d3ac 0x00450fac 4   6    UPX1    utf8    .@̠7 blocks=Basic Latin,Combining Diacritical Marks
1304 0x0000d3b7 0x00450fb7 7   9    UPX1    utf8    f9[Y\rݹ+ blocks=Basic Latin,Arabic Supplement
1305 0x0000d3fb 0x00450ffb 5   6    UPX1    ascii   ~(:a 
1306 0x0000d417 0x00451017 4   5    UPX1    ascii   R7g4
1307 0x0000d42b 0x0045102b 4   6    UPX1    utf8    ^$\eλ blocks=Basic Latin,Greek and Coptic
1308 0x0000d449 0x00451049 4   7    UPX1    utf8    磏?>z blocks=CJK Unified Ideographs,Basic Latin
1309 0x0000d4ce 0x004510ce 8   11   UPX1    utf8    쮀jhEy}r_ blocks=Hangul Syllables,Basic Latin
1310 0x0000d502 0x00451102 5   7    UPX1    utf8    +v[4м blocks=Basic Latin,Cyrillic
1311 0x0000d54e 0x0045114e 4   5    UPX1    ascii   3"$x
1312 0x0000d573 0x00451173 4   6    UPX1    utf8    [-ڣ> blocks=Basic Latin,Arabic
1313 0x0000d628 0x00451228 4   6    UPX1    utf8    kІYe blocks=Basic Latin,Cyrillic
1314 0x0000d693 0x00451293 5   7    UPX1    utf8    gޏWXJ blocks=Basic Latin,Thaana
1315 0x0000d6b0 0x004512b0 4   5    UPX1    ascii   j)"B
1316 0x0000d6b6 0x004512b6 4   6    UPX1    utf8    'ݮK# blocks=Basic Latin,Arabic Supplement
1317 0x0000d6cb 0x004512cb 6   7    UPX1    ascii   $\nc8R-
1318 0x0000d6d3 0x004512d3 4   5    UPX1    ascii   M5\nb
1319 0x0000d706 0x00451306 5   8    UPX1    utf8    N\e玬\rk blocks=Basic Latin,CJK Unified Ideographs
1320 0x0000d71b 0x0045131b 4   5    UPX1    ascii   gH55
1321 0x0000d776 0x00451376 4   6    UPX1    utf8    \bO.i
1322 0x0000d7a2 0x004513a2 4   5    UPX1    ascii   q^*!
1323 0x0000d7c3 0x004513c3 5   6    UPX1    ascii   4j8#x
1324 0x0000d7e1 0x004513e1 4   7    UPX1    utf8    XҺdL blocks=Basic Latin,Cyrillic
1325 0x0000d808 0x00451408 4   5    UPX1    ascii   dap5
1326 0x0000d813 0x00451413 4   5    UPX1    ascii   D,wh
1327 0x0000d8a5 0x004514a5 4   6    UPX1    utf8    b7Y̬ blocks=Basic Latin,Combining Diacritical Marks
1328 0x0000d8c1 0x004514c1 4   5    UPX1    ascii   1t3.
1329 0x0000d8d6 0x004514d6 4   5    UPX1    ascii   p&lT
1330 0x0000d934 0x00451534 4   5    UPX1    ascii   `\ax-
1331 0x0000d949 0x00451549 5   6    UPX1    ascii   U>c"<
1332 0x0000d950 0x00451550 5   6    UPX1    ascii   IW0v\a
1333 0x0000d98e 0x0045158e 5   6    UPX1    ascii   ,\f.d_
1334 0x0000d9d4 0x004515d4 5   6    UPX1    ascii   C)8L+
1335 0x0000d9dc 0x004515dc 4   5    UPX1    ascii   smAR
1336 0x0000d9ff 0x004515ff 6   8    UPX1    utf8    |~w[۰1 blocks=Basic Latin,Arabic
1337 0x0000da27 0x00451627 5   7    UPX1    utf8    ĀgoK' blocks=Latin Extended-A,Basic Latin
1338 0x0000daa9 0x004516a9 4   5    UPX1    ascii   DYxK
1339 0x0000dac8 0x004516c8 5   6    UPX1    ascii   BP(_]
1340 0x0000daf9 0x004516f9 7   8    UPX1    ascii   \v_(fp^\n
1341 0x0000db0a 0x0045170a 9   10   UPX1    ascii   CXFdSe<&\r
1342 0x0000db19 0x00451719 4   5    UPX1    ascii   j\O.
1343 0x0000db4e 0x0045174e 4   5    UPX1    ascii   P$An
1344 0x0000db90 0x00451790 5   6    UPX1    ascii   \nS\bm\r
1345 0x0000dbfe 0x004517fe 4   5    UPX1    ascii   `KL>
1346 0x0000dc08 0x00451808 5   7    UPX1    utf8    hFOɡ> blocks=Basic Latin,IPA Extensions
1347 0x0000dc0f 0x0045180f 4   5    UPX1    ascii   n@>z
1348 0x0000dc1a 0x0045181a 9   11   UPX1    utf8    *6RhXŧx)t blocks=Basic Latin,Latin Extended-A
1349 0x0000dc37 0x00451837 4   5    UPX1    ascii   \e\6 
1350 0x0000dcc9 0x004518c9 6   7    UPX1    ascii   1CST&`
1351 0x0000dd0b 0x0045190b 7   8    UPX1    ascii   ,lsty[&
1352 0x0000dd70 0x00451970 5   6    UPX1    ascii   ";p^Z
